Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Punjab National Bank",2180963,328341,2509304,34829.69,839199,"(B) Regional Rural Bank","2015-04-29"
"Punjab National Bank",7913100,1720881,9633981,77768.81,8957348,"(A) Public Sector Banks","2015-05-06"
"Punjab National Bank",2201017,329775,2530792,35085.03,880216,"(B) Regional Rural Bank","2015-05-06"
"Punjab National Bank",8001095,1734840,9735935,77771.01,8984355,"(A) Public Sector Banks","2015-05-13"
"Punjab National Bank",2223083,331421,2554504,35917.29,923678,"(B) Regional Rural Bank","2015-05-13"
"Punjab National Bank",8102578,1750894,9853472,77773.73,9058340,"(A) Public Sector Banks","2015-05-20"
"Punjab National Bank",2241148,332920,2574068,36719.41,967435,"(B) Regional Rural Bank","2015-05-20"
"Punjab National Bank",8257870,1775329,10033199,77782.03,9264638,"(A) Public Sector Banks","2015-06-03"
"Punjab National Bank",2267166,335682,2602848,38066.81,1004163,"(B) Regional Rural Bank","2015-06-03"
"Punjab National Bank",8353465,1787696,10141161,77821.5,9340847,"(A) Public Sector Banks","2015-06-10"
"Punjab National Bank",2283639,337196,2620835,38622.78,1012395,"(B) Regional Rural Bank","2015-06-10"
"Punjab National Bank",8429866,1797709,10227575,79629.08,9437602,"(A) Public Sector Banks","2015-06-17"
"Punjab National Bank",2294577,339077,2633654,39106.8,1024945,"(B) Regional Rural Bank","2015-06-17"
"Punjab National Bank",8516673,1808635,10325308,80921.34,9539389,"(A) Public Sector Banks","2015-06-24"
"Punjab National Bank",2304916,340221,2645137,39841.31,1043622,"(B) Regional Rural Bank","2015-06-24"
"Punjab National Bank",8602055,1818910,10420965,83676.01,9652631,"(A) Public Sector Banks","2015-07-01"
"Punjab National Bank",2312747,341125,2653872,40602.28,1069864,"(B) Regional Rural Bank","2015-07-01"
"Punjab National Bank",8692287,1829590,10521877,85364.2,9689616,"(A) Public Sector Banks","2015-07-08"
"Punjab National Bank",2343371,342396,2685767,41073.45,1124423,"(B) Regional Rural Bank","2015-07-08"
"Punjab National Bank",8775205,1841382,10616587,87026.32,9758649,"(A) Public Sector Banks","2015-07-15"
"Punjab National Bank",2371524,343528,2715052,41367.33,1235136,"(B) Regional Rural Bank","2015-07-15"
"Punjab National Bank",8881627,1850131,10731758,88014.7,9774777,"(A) Public Sector Banks","2015-07-22"
"Punjab National Bank",2398775,344176,2742951,41506.55,1321729,"(B) Regional Rural Bank","2015-07-22"
"Punjab National Bank",8995370,1862404,10857774,90113.21,9824835,"(A) Public Sector Banks","2015-07-29"
"Punjab National Bank",2422440,345078,2767518,41942.53,1425746,"(B) Regional Rural Bank","2015-07-29"
"Punjab National Bank",9130804,1874103,11004907,91501.05,9878673,"(A) Public Sector Banks","2015-08-05"
"Punjab National Bank",2445962,346351,2792313,42285.64,1524039,"(B) Regional Rural Bank","2015-08-05"
"Punjab National Bank",9220762,1883390,11104152,93801.75,9959387,"(A) Public Sector Banks","2015-08-12"
