Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of India",3030033,4182468,7212501,49533.96,7074302,"(A) Public Sector Banks","2015-05-06"
"Bank of India",1663741,564820,2228561,4868.89,2159654,"(B) Regional Rural Bank","2015-05-06"
"Bank of India",3063855,4216121,7279976,51944.85,7133819,"(A) Public Sector Banks","2015-05-13"
"Bank of India",1683874,569513,2253387,5061.31,2179402,"(B) Regional Rural Bank","2015-05-13"
"Bank of India",3093788,4250641,7344429,53402.6,7183533,"(A) Public Sector Banks","2015-05-20"
"Bank of India",1703478,575585,2279063,5234.88,2209711,"(B) Regional Rural Bank","2015-05-20"
"Bank of India",3148114,4317148,7465262,56093.1,7302722,"(A) Public Sector Banks","2015-06-03"
"Bank of India",1735329,584627,2319956,5661.23,2250586,"(B) Regional Rural Bank","2015-06-03"
"Bank of India",3174468,4344989,7519457,57565.24,7351663,"(A) Public Sector Banks","2015-06-10"
"Bank of India",1754069,589286,2343355,5827.64,2266801,"(B) Regional Rural Bank","2015-06-10"
"Bank of India",3199781,4374953,7574734,58678.47,7409331,"(A) Public Sector Banks","2015-06-17"
"Bank of India",1768339,594142,2362481,6020.75,2282447,"(B) Regional Rural Bank","2015-06-17"
"Bank of India",3232708,4408455,7641163,59774.79,7465884,"(A) Public Sector Banks","2015-06-24"
"Bank of India",1781089,597705,2378794,6169.56,2298441,"(B) Regional Rural Bank","2015-06-24"
"Bank of India",3272656,4448219,7720875,61152.56,7533522,"(A) Public Sector Banks","2015-07-01"
"Bank of India",1791345,600597,2391942,6353.97,2311738,"(B) Regional Rural Bank","2015-07-01"
"Bank of India",3278679,4452002,7730681,61724.23,7555783,"(A) Public Sector Banks","2015-07-08"
"Bank of India",1811543,606806,2418349,6542.06,2318306,"(B) Regional Rural Bank","2015-07-08"
"Bank of India",3414862,4623880,8038742,64992.11,7789793,"(A) Public Sector Banks","2015-07-15"
"Bank of India",1830915,612828,2443743,6661.06,2343219,"(B) Regional Rural Bank","2015-07-15"
"Bank of India",3481942,4689203,8171145,66134.06,7911035,"(A) Public Sector Banks","2015-07-22"
"Bank of India",1846453,617716,2464169,6814.06,2371631,"(B) Regional Rural Bank","2015-07-22"
"Bank of India",3544813,4746389,8291202,67306.38,7989711,"(A) Public Sector Banks","2015-07-29"
"Bank of India",1863210,623137,2486347,6997.81,2387718,"(B) Regional Rural Bank","2015-07-29"
"Bank of India",3581064,4785820,8366884,68333.71,8046458,"(A) Public Sector Banks","2015-08-05"
"Bank of India",1878768,627487,2506255,7180.5,2396310,"(B) Regional Rural Bank","2015-08-05"
"Bank of India",3689590,4896550,8586140,72189.88,8222912,"(A) Public Sector Banks","2015-08-12"
"Bank of India",1897372,633340,2530712,7285.71,2409498,"(B) Regional Rural Bank","2015-08-12"
"Bank of India",3761261,4961360,8722621,73655.39,8328176,"(A) Public Sector Banks","2015-08-19"
"Bank of India",1917037,637625,2554662,7350.05,2425080,"(B) Regional Rural Bank","2015-08-19"
"Bank of India",3829157,5013959,8843116,74899.95,8408080,"(A) Public Sector Banks","2015-08-26"
"Bank of India",1925678,640136,2565814,7367.39,2425080,"(B) Regional Rural Bank","2015-08-26"
"Bank of India",3857700,5025754,8883454,75038.45,8464679,"(A) Public Sector Banks","2015-09-02"
"Bank of India",1963527,652322,2615849,7466.23,2425082,"(B) Regional Rural Bank","2015-09-02"
"Bank of India",3900010,5063049,8963059,76445.96,8464679,"(A) Public Sector Banks","2015-09-09"
"Bank of India",1979984,657134,2637118,7938.18,2425080,"(B) Regional Rural Bank","2015-09-09"
"Bank of India",3954913,5107627,9062540,78005.4,8470857,"(A) Public Sector Banks","2015-09-16"
"Bank of India",2009492,662107,2671599,8554.17,2425080,"(B) Regional Rural Bank","2015-09-16"
"Bank of India",4008747,5153598,9162345,79432.1,8599103,"(A) Public Sector Banks","2015-09-23"
"Bank of India",2024019,666667,2690686,8948.3,2425080,"(B) Regional Rural Bank","2015-09-23"
"Bank of India",4075868,5218468,9294336,82505.43,8681010,"(A) Public Sector Banks","2015-10-07"
"Bank of India",2047263,673019,2720282,10132.38,2425080,"(B) Regional Rural Bank","2015-10-07"
"Bank of India",4119441,5256469,9375910,84374.52,8728057,"(A) Public Sector Banks","2015-10-14"
"Bank of India",2058902,676250,2735152,10309.9,2425080,"(B) Regional Rural Bank","2015-10-14"
"Bank of India",4156361,5288341,9444702,85761.84,8837271,"(A) Public Sector Banks","2015-10-21"
"Bank of India",2070681,680648,2751329,10817.67,2425080,"(B) Regional Rural Bank","2015-10-21"
"Bank of India",4175196,5307205,9482401,85808.05,8891397,"(A) Public Sector Banks","2015-10-28"
