Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of Maharashtra",1220574,569661,1790235,21003.73,1723509,"(A) Public Sector Banks","2015-06-03"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-06-03"
"Bank of Maharashtra",1223485,572553,1796038,21002.53,1723509,"(A) Public Sector Banks","2015-06-10"
"Bank of Maharashtra",381865,68491,450356,6354.44,450356,"(B) Regional Rural Bank","2015-06-10"
"Bank of Maharashtra",1225964,574040,1800004,21009.26,1723509,"(A) Public Sector Banks","2015-06-17"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-06-17"
"Bank of Maharashtra",1228618,575520,1804138,21015.37,1723509,"(A) Public Sector Banks","2015-06-24"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-06-24"
"Bank of Maharashtra",1231160,576877,1808037,21022.34,1723509,"(A) Public Sector Banks","2015-07-01"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-07-01"
"Bank of Maharashtra",1326041,577565,1903606,21032.08,1723509,"(A) Public Sector Banks","2015-07-08"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-07-08"
"Bank of Maharashtra",1331580,577565,1909145,21039.25,1723509,"(A) Public Sector Banks","2015-07-15"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-07-15"
"Bank of Maharashtra",1331580,577565,1909145,21073.85,1723509,"(A) Public Sector Banks","2015-07-22"
"Bank of Maharashtra",381865,68491,450356,6354.27,450356,"(B) Regional Rural Bank","2015-07-22"
"Bank of Maharashtra",1331580,577565,1909145,21081.14,1723509,"(A) Public Sector Banks","2015-07-29"
"Bank of Maharashtra",381865,68491,450356,6356.21,450356,"(B) Regional Rural Bank","2015-07-29"
"Bank of Maharashtra",1331580,577565,1909145,21423.14,1723509,"(A) Public Sector Banks","2015-08-05"
"Bank of Maharashtra",381865,68491,450356,6357.31,450356,"(B) Regional Rural Bank","2015-08-05"
"Bank of Maharashtra",1331580,577565,1909145,22302.15,1723509,"(A) Public Sector Banks","2015-08-12"
"Bank of Maharashtra",381865,68491,450356,6360.27,450356,"(B) Regional Rural Bank","2015-08-12"
"Bank of Maharashtra",1331580,577565,1909145,22915.07,1723509,"(A) Public Sector Banks","2015-08-19"
"Bank of Maharashtra",381865,68491,450356,6360.4,450356,"(B) Regional Rural Bank","2015-08-19"
"Bank of Maharashtra",1331580,577565,1909145,23487.09,1723509,"(A) Public Sector Banks","2015-08-26"
"Bank of Maharashtra",381865,68491,450356,6360.4,450356,"(B) Regional Rural Bank","2015-08-26"
"Bank of Maharashtra",1331580,577565,1909145,23715.17,1723509,"(A) Public Sector Banks","2015-09-02"
"Bank of Maharashtra",381865,68491,450356,6361.66,450356,"(B) Regional Rural Bank","2015-09-02"
