Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Bikaner & Jaipur",1155458,1359227,2514685,59837.38,2192931,"(A) Public Sector Banks","2015-04-15"
"State Bank of Bikaner & Jaipur",925013,26737,951750,11176.88,864051,"(B) Regional Rural Bank","2015-04-15"
"State Bank of Bikaner & Jaipur",1174835,1372153,2546988,60225.19,2223408,"(A) Public Sector Banks","2015-04-22"
"State Bank of Bikaner & Jaipur",950206,26756,976962,11347.3,864070,"(B) Regional Rural Bank","2015-04-22"
"State Bank of Bikaner & Jaipur",1188546,1381845,2570391,60365.36,2249198,"(A) Public Sector Banks","2015-04-29"
"State Bank of Bikaner & Jaipur",974953,26776,1001729,11533.06,864083,"(B) Regional Rural Bank","2015-04-29"
"State Bank of Bikaner & Jaipur",1202482,1391343,2593825,62190.5,2268140,"(A) Public Sector Banks","2015-05-06"
"State Bank of Bikaner & Jaipur",994544,26915,1021459,11699.86,863927,"(B) Regional Rural Bank","2015-05-06"
"State Bank of Bikaner & Jaipur",1224897,1397543,2622440,63428.6,2290733,"(A) Public Sector Banks","2015-05-13"
"State Bank of Bikaner & Jaipur",1016809,26935,1043744,11837.92,864135,"(B) Regional Rural Bank","2015-05-13"
"State Bank of Bikaner & Jaipur",1242079,1408962,2651041,63745,2319560,"(A) Public Sector Banks","2015-05-20"
"State Bank of Bikaner & Jaipur",1043163,26969,1070132,12035.01,864350,"(B) Regional Rural Bank","2015-05-20"
"State Bank of Bikaner & Jaipur",1267668,1433698,2701366,65751.81,2359882,"(A) Public Sector Banks","2015-06-03"
"State Bank of Bikaner & Jaipur",1088687,27520,1116207,12513.67,864754,"(B) Regional Rural Bank","2015-06-03"
"State Bank of Bikaner & Jaipur",1282647,1446167,2728814,66218.22,2385458,"(A) Public Sector Banks","2015-06-10"
"State Bank of Bikaner & Jaipur",1107176,27729,1134905,12741.06,864954,"(B) Regional Rural Bank","2015-06-10"
"State Bank of Bikaner & Jaipur",1297166,1456450,2753616,66696.29,2411874,"(A) Public Sector Banks","2015-06-17"
"State Bank of Bikaner & Jaipur",1120767,27919,1148686,12904.94,865124,"(B) Regional Rural Bank","2015-06-17"
"State Bank of Bikaner & Jaipur",1312013,1468205,2780218,67173.97,2432711,"(A) Public Sector Banks","2015-06-24"
"State Bank of Bikaner & Jaipur",1139311,28244,1167555,13181.72,865324,"(B) Regional Rural Bank","2015-06-24"
"State Bank of Bikaner & Jaipur",1324768,1478720,2803488,69567.26,2457422,"(A) Public Sector Banks","2015-07-01"
"State Bank of Bikaner & Jaipur",1148951,28447,1177398,13304.36,865480,"(B) Regional Rural Bank","2015-07-01"
"State Bank of Bikaner & Jaipur",1337709,1489685,2827394,69988.19,2476877,"(A) Public Sector Banks","2015-07-08"
"State Bank of Bikaner & Jaipur",1165393,28710,1194103,13522.69,865690,"(B) Regional Rural Bank","2015-07-08"
"State Bank of Bikaner & Jaipur",1349867,1499801,2849668,70237.85,2497148,"(A) Public Sector Banks","2015-07-15"
"State Bank of Bikaner & Jaipur",1187185,28944,1216129,13776.67,865865,"(B) Regional Rural Bank","2015-07-15"
"State Bank of Bikaner & Jaipur",1394076,1478868,2872944,69991.97,2510740,"(A) Public Sector Banks","2015-07-22"
"State Bank of Bikaner & Jaipur",1207010,29270,1236280,14031.74,866050,"(B) Regional Rural Bank","2015-07-22"
"State Bank of Bikaner & Jaipur",1406280,1488432,2894712,70414.42,2533759,"(A) Public Sector Banks","2015-07-29"
"State Bank of Bikaner & Jaipur",1230024,29582,1259606,14303,866235,"(B) Regional Rural Bank","2015-07-29"
"State Bank of Bikaner & Jaipur",1417583,1497384,2914967,71581.44,2553970,"(A) Public Sector Banks","2015-08-05"
"State Bank of Bikaner & Jaipur",1253838,29891,1283729,14753.87,866404,"(B) Regional Rural Bank","2015-08-05"
"State Bank of Bikaner & Jaipur",1439358,1506324,2945682,72098.14,2583553,"(A) Public Sector Banks","2015-08-12"
"State Bank of Bikaner & Jaipur",1278127,30187,1308314,14940.94,866581,"(B) Regional Rural Bank","2015-08-12"
"State Bank of Bikaner & Jaipur",1455330,1516652,2971982,72400.19,2603270,"(A) Public Sector Banks","2015-08-19"
"State Bank of Bikaner & Jaipur",1304044,30643,1334687,15098.53,866744,"(B) Regional Rural Bank","2015-08-19"
"State Bank of Bikaner & Jaipur",1473269,1527086,3000355,72847.09,2628282,"(A) Public Sector Banks","2015-08-26"
"State Bank of Bikaner & Jaipur",1332777,31021,1363798,15305.13,866856,"(B) Regional Rural Bank","2015-08-26"
"State Bank of Bikaner & Jaipur",1487425,1534553,3021978,73687.07,2653614,"(A) Public Sector Banks","2015-09-02"
"State Bank of Bikaner & Jaipur",1347552,31325,1378877,15578.45,866978,"(B) Regional Rural Bank","2015-09-02"
"State Bank of Bikaner & Jaipur",1505965,1545157,3051122,74230.07,2679668,"(A) Public Sector Banks","2015-09-09"
"State Bank of Bikaner & Jaipur",1370041,31655,1401696,15832.25,867146,"(B) Regional Rural Bank","2015-09-09"
"State Bank of Bikaner & Jaipur",1522255,1555777,3078032,74550.66,2703250,"(A) Public Sector Banks","2015-09-16"
"State Bank of Bikaner & Jaipur",1390800,32058,1422858,16026.23,867304,"(B) Regional Rural Bank","2015-09-16"
"State Bank of Bikaner & Jaipur",1539532,1566258,3105790,74828.42,2731552,"(A) Public Sector Banks","2015-09-23"
"State Bank of Bikaner & Jaipur",1413635,32443,1446078,16266.38,867494,"(B) Regional Rural Bank","2015-09-23"
"State Bank of Bikaner & Jaipur",1568678,1585509,3154187,77122.61,2778293,"(A) Public Sector Banks","2015-10-07"
"State Bank of Bikaner & Jaipur",1445218,33174,1478392,16968.93,867699,"(B) Regional Rural Bank","2015-10-07"
"State Bank of Bikaner & Jaipur",1583992,1596621,3180613,77563.64,2795745,"(A) Public Sector Banks","2015-10-14"
"State Bank of Bikaner & Jaipur",1472348,33644,1505992,17179.87,867800,"(B) Regional Rural Bank","2015-10-14"
"State Bank of Bikaner & Jaipur",1595514,1604134,3199648,78238.92,2812954,"(A) Public Sector Banks","2015-10-21"
