Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"United Bank of India",2632167,1872330,4504497,180640.79,3389320,"(A) Public Sector Banks","2015-06-10"
"United Bank of India",3241399,59236,3300635,40226.05,2097159,"(B) Regional Rural Bank","2015-06-10"
"United Bank of India",2683878,1897299,4581177,185472.67,3421863,"(A) Public Sector Banks","2015-06-17"
"United Bank of India",3283971,60047,3344018,42476.83,2098665,"(B) Regional Rural Bank","2015-06-17"
"United Bank of India",2740084,1935814,4675898,191095.17,3546419,"(A) Public Sector Banks","2015-06-24"
"United Bank of India",3359425,60850,3420275,42758.35,2098726,"(B) Regional Rural Bank","2015-06-24"
"United Bank of India",2788701,1963062,4751763,200477.53,3549787,"(A) Public Sector Banks","2015-07-01"
"United Bank of India",3380044,61321,3441365,43585.58,2098797,"(B) Regional Rural Bank","2015-07-01"
"United Bank of India",2857536,1997246,4854782,207393.42,3557394,"(A) Public Sector Banks","2015-07-08"
"United Bank of India",3461325,62060,3523385,44634.14,2098895,"(B) Regional Rural Bank","2015-07-08"
"United Bank of India",2909805,2026792,4936597,210724.64,3782117,"(A) Public Sector Banks","2015-07-15"
"United Bank of India",3493051,62575,3555626,46165.23,2098906,"(B) Regional Rural Bank","2015-07-15"
"United Bank of India",2950013,2051286,5001299,214157.65,3785751,"(A) Public Sector Banks","2015-07-22"
"United Bank of India",3557847,63443,3621290,46939.69,2099187,"(B) Regional Rural Bank","2015-07-22"
"United Bank of India",3004340,2083145,5087485,217506.13,3791001,"(A) Public Sector Banks","2015-07-29"
"United Bank of India",3613086,64139,3677225,47918.45,2099249,"(B) Regional Rural Bank","2015-07-29"
"United Bank of India",3051245,2110951,5162196,232522.46,3901967,"(A) Public Sector Banks","2015-08-05"
"United Bank of India",3670616,64866,3735482,49763.16,2099324,"(B) Regional Rural Bank","2015-08-05"
"United Bank of India",3099623,2140283,5239906,237461.01,3909979,"(A) Public Sector Banks","2015-08-12"
"United Bank of India",3743348,65549,3808897,50860.65,2099473,"(B) Regional Rural Bank","2015-08-12"
"United Bank of India",3155759,2169319,5325078,240837.61,3915050,"(A) Public Sector Banks","2015-08-19"
"United Bank of India",3781425,66299,3847724,51940.18,2099545,"(B) Regional Rural Bank","2015-08-19"
"United Bank of India",3214041,2201260,5415301,241999.91,3921952,"(A) Public Sector Banks","2015-08-26"
"United Bank of India",3829033,66870,3895903,53865.89,2099705,"(B) Regional Rural Bank","2015-08-26"
"United Bank of India",3272008,2228817,5500825,249503.71,3926447,"(A) Public Sector Banks","2015-09-02"
"United Bank of India",3920120,67676,3987796,54481.62,2099772,"(B) Regional Rural Bank","2015-09-02"
"United Bank of India",3325316,2256942,5582258,253819.89,3937520,"(A) Public Sector Banks","2015-09-09"
"United Bank of India",3953819,68060,4021879,51940.18,2339325,"(B) Regional Rural Bank","2015-09-09"
"United Bank of India",3378790,2294783,5673573,256462.58,3950486,"(A) Public Sector Banks","2015-09-16"
"United Bank of India",3999048,68833,4067881,55960.39,2368047,"(B) Regional Rural Bank","2015-09-16"
"United Bank of India",3425378,2311983,5737361,259825.93,3952929,"(A) Public Sector Banks","2015-09-23"
"United Bank of India",4055112,69622,4124734,56849.08,2116232,"(B) Regional Rural Bank","2015-09-23"
"United Bank of India",3441790,2325844,5767634,264477.43,3957752,"(A) Public Sector Banks","2015-10-07"
"United Bank of India",4163865,70952,4234817,59862.88,2116391,"(B) Regional Rural Bank","2015-10-07"
"United Bank of India",3546420,2378724,5925144,275884.2,3974929,"(A) Public Sector Banks","2015-10-14"
