Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of Baroda",1969197,585614,2554811,23965.08,2192788,"(B) Regional Rural Bank","2015-05-13"
"Bank of Baroda",3666674,4971134,8637808,121406.04,8310310,"(A) Public Sector Banks","2015-05-20"
"Bank of Baroda",2001568,594265,2595833,24620.26,2206903,"(B) Regional Rural Bank","2015-05-20"
"Bank of Baroda",3761677,5073404,8835081,126725.24,8584535,"(A) Public Sector Banks","2015-06-03"
"Bank of Baroda",2056099,607767,2663866,26392.49,2501829,"(B) Regional Rural Bank","2015-06-03"
"Bank of Baroda",3807547,5117427,8924974,129997.3,8657851,"(A) Public Sector Banks","2015-06-10"
"Bank of Baroda",2083927,613076,2697003,27325.76,2510643,"(B) Regional Rural Bank","2015-06-10"
"Bank of Baroda",3856977,5163531,9020508,133431.6,8735271,"(A) Public Sector Banks","2015-06-17"
"Bank of Baroda",2116357,623191,2739548,28067.22,2519314,"(B) Regional Rural Bank","2015-06-17"
"Bank of Baroda",3903401,5212708,9116109,136388.22,8811374,"(A) Public Sector Banks","2015-06-24"
"Bank of Baroda",2148792,634316,2783108,29279.76,2527906,"(B) Regional Rural Bank","2015-06-24"
"Bank of Baroda",3946759,5261433,9208192,141326.01,8880002,"(A) Public Sector Banks","2015-07-01"
"Bank of Baroda",2172918,639036,2811954,30386.5,2534482,"(B) Regional Rural Bank","2015-07-01"
"Bank of Baroda",3995434,5313246,9308680,145354.31,8950987,"(A) Public Sector Banks","2015-07-08"
"Bank of Baroda",2199124,644651,2843775,32223.15,2540652,"(B) Regional Rural Bank","2015-07-08"
"Bank of Baroda",4046415,5368923,9415338,147405.52,9023179,"(A) Public Sector Banks","2015-07-15"
"Bank of Baroda",2231310,651254,2882564,33240.99,2546682,"(B) Regional Rural Bank","2015-07-15"
"Bank of Baroda",4097126,5421516,9518642,148804.72,9092352,"(A) Public Sector Banks","2015-07-22"
"Bank of Baroda",2261837,659904,2921741,33897.16,2552698,"(B) Regional Rural Bank","2015-07-22"
"Bank of Baroda",4160066,5487906,9647972,150117.21,9184655,"(A) Public Sector Banks","2015-07-29"
"Bank of Baroda",2306365,670451,2976816,34750.96,2560001,"(B) Regional Rural Bank","2015-07-29"
"Bank of Baroda",4215100,5547572,9762672,153070.27,9264072,"(A) Public Sector Banks","2015-08-05"
"Bank of Baroda",2353514,681064,3034578,35324.35,2872579,"(B) Regional Rural Bank","2015-08-05"
"Bank of Baroda",4274585,5606675,9881260,155042.17,9561829,"(A) Public Sector Banks","2015-08-12"
"Bank of Baroda",2401358,691439,3092797,36615.26,2879605,"(B) Regional Rural Bank","2015-08-12"
"Bank of Baroda",4327673,5661375,9989048,156112.55,9637743,"(A) Public Sector Banks","2015-08-19"
"Bank of Baroda",2439786,700677,3140463,37463.06,2885186,"(B) Regional Rural Bank","2015-08-19"
"Bank of Baroda",4389981,5730002,10119983,158606.48,9730789,"(A) Public Sector Banks","2015-08-26"
"Bank of Baroda",2483561,712298,3195859,38367.66,2891590,"(B) Regional Rural Bank","2015-08-26"
"Bank of Baroda",4425831,5779437,10205268,159826.95,9791491,"(A) Public Sector Banks","2015-09-02"
"Bank of Baroda",2514009,719529,3233538,39065.83,2896290,"(B) Regional Rural Bank","2015-09-02"
"Bank of Baroda",4472900,5834301,10307201,164316.49,9867887,"(A) Public Sector Banks","2015-09-09"
"Bank of Baroda",2553444,728881,3282325,39951.6,2901154,"(B) Regional Rural Bank","2015-09-09"
"Bank of Baroda",4523088,5893103,10416191,168126.38,9938365,"(A) Public Sector Banks","2015-09-16"
"Bank of Baroda",2584234,736741,3320975,40878.24,2904894,"(B) Regional Rural Bank","2015-09-16"
"Bank of Baroda",4563614,5942080,10505694,170919.75,10014231,"(A) Public Sector Banks","2015-09-23"
"Bank of Baroda",2619397,745652,3365049,41931.16,2909039,"(B) Regional Rural Bank","2015-09-23"
"Bank of Baroda",4631913,6015614,10647527,177142.09,10121113,"(A) Public Sector Banks","2015-10-07"
"Bank of Baroda",2664868,757538,3422406,43689.42,2914664,"(B) Regional Rural Bank","2015-10-07"
"Bank of Baroda",4664161,6056316,10720477,180169.64,10176141,"(A) Public Sector Banks","2015-10-14"
"Bank of Baroda",2686385,763874,3450259,44416.57,2915674,"(B) Regional Rural Bank","2015-10-14"
"Bank of Baroda",4696584,6094102,10790686,182092.93,10228841,"(A) Public Sector Banks","2015-10-21"
"Bank of Baroda",2708791,771109,3479900,45265.28,2916397,"(B) Regional Rural Bank","2015-10-21"
"Bank of Baroda",4721665,6123364,10845029,181928.19,10267258,"(A) Public Sector Banks","2015-10-28"
"Bank of Baroda",2717854,774647,3492501,45502.97,2916636,"(B) Regional Rural Bank","2015-10-28"
"Bank of Baroda",4749821,6160566,10910387,185130.47,10314145,"(A) Public Sector Banks","2015-11-04"
"Bank of Baroda",2727260,778324,3505584,46073.32,2913514,"(B) Regional Rural Bank","2015-11-04"
"Bank of Baroda",4768728,6192638,10961366,191982.83,10543022,"(A) Public Sector Banks","2015-11-11"
"Bank of Baroda",2739320,781152,3520472,47203.62,2909839,"(B) Regional Rural Bank","2015-11-11"
"Bank of Baroda",4783054,6210796,10993850,192467.09,10566549,"(A) Public Sector Banks","2015-11-18"
"Bank of Baroda",2746198,782458,3528656,47233.38,2908269,"(B) Regional Rural Bank","2015-11-18"
"Bank of Baroda",4806035,6241947,11047982,191727.85,10602076,"(A) Public Sector Banks","2015-11-25"
"Bank of Baroda",2745507,781096,3526603,47603.61,3196202,"(B) Regional Rural Bank","2015-11-25"
"Bank of Baroda",4821053,6262938,11083991,193331.06,10633082,"(A) Public Sector Banks","2015-12-02"
"Bank of Baroda",2752256,779454,3531710,48080.9,3194056,"(B) Regional Rural Bank","2015-12-02"
"Bank of Baroda",4842233,6291757,11133990,194023.88,10670718,"(A) Public Sector Banks","2015-12-09"
"Bank of Baroda",2765494,781379,3546873,48960.75,3192967,"(B) Regional Rural Bank","2015-12-09"
"Bank of Baroda",4874870,6334775,11209645,193091.51,10730475,"(A) Public Sector Banks","2015-12-16"
"Bank of Baroda",2774690,784696,3559386,50024.57,3365528,"(B) Regional Rural Bank","2015-12-16"
"Bank of Baroda",4900622,6368381,11269003,195447.68,10777640,"(A) Public Sector Banks","2015-12-23"
"Bank of Baroda",2788538,788480,3577018,50999.75,3366129,"(B) Regional Rural Bank","2015-12-23"
"Bank of Baroda",4952825,6431542,11384367,197520.93,10879822,"(A) Public Sector Banks","2015-12-30"
"Bank of Baroda",2804692,792071,3596763,51671.27,3366782,"(B) Regional Rural Bank","2015-12-30"
"Bank of Baroda",4993054,6480931,11473985,200974.87,10956104,"(A) Public Sector Banks","2016-01-06"
"Bank of Baroda",2824569,796269,3620838,53292.04,3368217,"(B) Regional Rural Bank","2016-01-06"
"Bank of Baroda",5045898,6543525,11589423,205646.6,11058705,"(A) Public Sector Banks","2016-01-13"
"Bank of Baroda",2846903,801111,3648014,54547.57,3370051,"(B) Regional Rural Bank","2016-01-13"
"Bank of Baroda",5092889,6597869,11690758,208414.68,11147326,"(A) Public Sector Banks","2016-01-20"
"Bank of Baroda",2871947,806181,3678128,55680.01,3374169,"(B) Regional Rural Bank","2016-01-20"
"Bank of Baroda",5133801,6644154,11777955,208374.78,11225574,"(A) Public Sector Banks","2016-01-27"
"Bank of Baroda",2888555,809191,3697746,56080.12,3376135,"(B) Regional Rural Bank","2016-01-27"
"Bank of Baroda",5229249,6750155,11979404,218142.57,11402469,"(A) Public Sector Banks","2016-02-10"
