Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"UCO Bank",2428990,2528416,4957406,78779.12,4808535,"(A) Public Sector Banks","2015-06-03"
"UCO Bank",610867,16485,627352,7364.33,470499,"(B) Regional Rural Bank","2015-06-03"
"UCO Bank",2477111,2585735,5062846,81078.24,4892654,"(A) Public Sector Banks","2015-06-10"
"UCO Bank",616060,16706,632766,7465.5,470499,"(B) Regional Rural Bank","2015-06-10"
"UCO Bank",2500131,2606738,5106869,82604.52,4931921,"(A) Public Sector Banks","2015-06-17"
"UCO Bank",618967,16918,635885,7552.11,470499,"(B) Regional Rural Bank","2015-06-17"
"UCO Bank",2532912,2641783,5174695,85083.72,4998838,"(A) Public Sector Banks","2015-06-24"
"UCO Bank",620952,16947,637899,7563.38,524144,"(B) Regional Rural Bank","2015-06-24"
"UCO Bank",2560838,2666430,5227268,87356.41,5053956,"(A) Public Sector Banks","2015-07-01"
"UCO Bank",631428,17379,648807,7575.46,524144,"(B) Regional Rural Bank","2015-07-01"
"UCO Bank",2591475,2696261,5287736,90595.57,5106976,"(A) Public Sector Banks","2015-07-08"
"UCO Bank",638796,18795,657591,7866.32,494761,"(B) Regional Rural Bank","2015-07-08"
"UCO Bank",2633367,2737141,5370508,93431.71,5189232,"(A) Public Sector Banks","2015-07-15"
"UCO Bank",643216,19232,662448,3012.87,494761,"(B) Regional Rural Bank","2015-07-15"
"UCO Bank",2655872,2760299,5416171,94409.94,5241143,"(A) Public Sector Banks","2015-07-22"
"UCO Bank",660240,20354,680594,3180.89,536839,"(B) Regional Rural Bank","2015-07-22"
"UCO Bank",2699720,2802216,5501936,96330.77,5324603,"(A) Public Sector Banks","2015-07-29"
"UCO Bank",665183,20625,685808,8120.92,536839,"(B) Regional Rural Bank","2015-07-29"
"UCO Bank",2734797,2838216,5573013,99327.98,5398035,"(A) Public Sector Banks","2015-08-05"
"UCO Bank",670767,20780,691547,8127.51,536839,"(B) Regional Rural Bank","2015-08-05"
"UCO Bank",2768610,2873554,5642164,101839.57,5468143,"(A) Public Sector Banks","2015-08-12"
"UCO Bank",675447,20947,696394,8150.72,536839,"(B) Regional Rural Bank","2015-08-12"
"UCO Bank",2801328,2907647,5708975,103227.39,5533714,"(A) Public Sector Banks","2015-08-19"
"UCO Bank",679591,21672,701263,8468.11,536839,"(B) Regional Rural Bank","2015-08-19"
"UCO Bank",2832168,2938596,5770764,104223.73,5601780,"(A) Public Sector Banks","2015-08-26"
"UCO Bank",683836,21886,705722,8474.59,536839,"(B) Regional Rural Bank","2015-08-26"
"UCO Bank",2859586,2967068,5826654,105871.28,5677982,"(A) Public Sector Banks","2015-09-02"
"UCO Bank",690631,22082,712713,8535.51,536839,"(B) Regional Rural Bank","2015-09-02"
"UCO Bank",2907662,3015008,5922670,110213.27,5781032,"(A) Public Sector Banks","2015-09-09"
"UCO Bank",694422,22267,716689,8556.05,536839,"(B) Regional Rural Bank","2015-09-09"
"UCO Bank",2933953,3045034,5978987,111980.51,5834379,"(A) Public Sector Banks","2015-09-16"
"UCO Bank",698034,22594,720628,8564.39,536839,"(B) Regional Rural Bank","2015-09-16"
"UCO Bank",2967480,3079948,6047428,113261.47,5876129,"(A) Public Sector Banks","2015-09-23"
"UCO Bank",725563,23766,749329,8590.84,536839,"(B) Regional Rural Bank","2015-09-23"
"UCO Bank",3009478,3130725,6140203,117817.37,5975460,"(A) Public Sector Banks","2015-10-07"
"UCO Bank",739889,24465,764354,12826.73,536839,"(B) Regional Rural Bank","2015-10-07"
"UCO Bank",3029513,3153256,6182769,119979.11,6010584,"(A) Public Sector Banks","2015-10-14"
"UCO Bank",784049,24697,808746,12837.83,536839,"(B) Regional Rural Bank","2015-10-14"
"UCO Bank",3029513,3153256,6182769,119979.11,6010584,"(A) Public Sector Banks","2015-10-21"
"UCO Bank",784049,24697,808746,12837.83,536839,"(B) Regional Rural Bank","2015-10-21"
"UCO Bank",3061648,3189508,6251156,120973.98,6072806,"(A) Public Sector Banks","2015-10-28"
"UCO Bank",786408,24926,811334,12834.43,536839,"(B) Regional Rural Bank","2015-10-28"
