Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Mysore",604068,211121,815189,4159.82,767257,"(A) Public Sector Banks","2015-05-06"
"State Bank of Mysore",273204,79918,353122,1314.53,307635,"(B) Regional Rural Bank","2015-05-06"
"State Bank of Mysore",604944,211218,816162,4296.78,768125,"(A) Public Sector Banks","2015-05-13"
"State Bank of Mysore",273378,82433,355811,1314.53,308443,"(B) Regional Rural Bank","2015-05-13"
"State Bank of Mysore",605570,211606,817176,4295.4,768958,"(A) Public Sector Banks","2015-05-20"
"State Bank of Mysore",274039,82088,356127,1408.48,309195,"(B) Regional Rural Bank","2015-05-20"
"State Bank of Mysore",608313,212187,820500,4417.26,771678,"(A) Public Sector Banks","2015-06-03"
"State Bank of Mysore",274390,82323,356713,1409.92,310959,"(B) Regional Rural Bank","2015-06-03"
"State Bank of Mysore",608313,212187,820500,4417.26,771678,"(A) Public Sector Banks","2015-06-10"
"State Bank of Mysore",274543,82426,356969,1410.84,311819,"(B) Regional Rural Bank","2015-06-10"
"State Bank of Mysore",609264,212326,821590,4573.74,772284,"(A) Public Sector Banks","2015-06-17"
"State Bank of Mysore",274718,82535,357253,1411.21,312641,"(B) Regional Rural Bank","2015-06-17"
"State Bank of Mysore",610940,212438,823378,4602.78,773237,"(A) Public Sector Banks","2015-06-24"
"State Bank of Mysore",274897,82636,357533,1412.71,313388,"(B) Regional Rural Bank","2015-06-24"
"State Bank of Mysore",613871,212698,826569,4747.09,773965,"(A) Public Sector Banks","2015-07-01"
"State Bank of Mysore",275048,82723,357771,1413.36,313984,"(B) Regional Rural Bank","2015-07-01"
"State Bank of Mysore",618940,212960,831900,4923.09,775219,"(A) Public Sector Banks","2015-07-08"
"State Bank of Mysore",275185,82813,357998,1414.55,314626,"(B) Regional Rural Bank","2015-07-08"
"State Bank of Mysore",624382,213489,837871,5022.39,776123,"(A) Public Sector Banks","2015-07-15"
"State Bank of Mysore",275303,82896,358199,1415.07,315150,"(B) Regional Rural Bank","2015-07-15"
"State Bank of Mysore",628454,213753,842207,5016.08,776967,"(A) Public Sector Banks","2015-07-22"
"State Bank of Mysore",275420,82958,358378,1416.12,315376,"(B) Regional Rural Bank","2015-07-22"
"State Bank of Mysore",633195,214534,847729,5046.1,778231,"(A) Public Sector Banks","2015-07-29"
"State Bank of Mysore",275548,83041,358589,1416.35,315535,"(B) Regional Rural Bank","2015-07-29"
"State Bank of Mysore",637048,215327,852375,5112.36,778988,"(A) Public Sector Banks","2015-08-05"
"State Bank of Mysore",275602,83075,358677,1416.6,315542,"(B) Regional Rural Bank","2015-08-05"
"State Bank of Mysore",639512,215852,855364,5355.64,779819,"(A) Public Sector Banks","2015-08-12"
"State Bank of Mysore",275660,83112,358772,1416.97,315546,"(B) Regional Rural Bank","2015-08-12"
"State Bank of Mysore",641567,215941,857508,5263.15,780718,"(A) Public Sector Banks","2015-08-19"
