Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Patiala",407108,758894,1166002,23265.24,1114239,"(A) Public Sector Banks","2015-05-06"
"State Bank of Patiala",40406,657,41063,600.7,36581,"(B) Regional Rural Bank","2015-05-06"
"State Bank of Patiala",408864,761844,1170708,23267.03,1117911,"(A) Public Sector Banks","2015-05-13"
"State Bank of Patiala",40842,657,41499,635.75,36614,"(B) Regional Rural Bank","2015-05-13"
"State Bank of Patiala",411231,765320,1176551,23267.22,1122222,"(A) Public Sector Banks","2015-05-20"
"State Bank of Patiala",41196,657,41853,656.55,36655,"(B) Regional Rural Bank","2015-05-20"
"State Bank of Patiala",415770,771299,1187069,23268.69,1129944,"(A) Public Sector Banks","2015-06-03"
"State Bank of Patiala",41909,657,42566,696.38,36682,"(B) Regional Rural Bank","2015-06-03"
"State Bank of Patiala",417400,773411,1190811,23269.84,1133155,"(A) Public Sector Banks","2015-06-10"
"State Bank of Patiala",42224,657,42881,719.98,36696,"(B) Regional Rural Bank","2015-06-10"
"State Bank of Patiala",418992,776025,1195017,23270.32,1136934,"(A) Public Sector Banks","2015-06-17"
"State Bank of Patiala",42384,657,43041,715.99,36713,"(B) Regional Rural Bank","2015-06-17"
"State Bank of Patiala",420706,777848,1198554,23271.28,1140159,"(A) Public Sector Banks","2015-06-24"
"State Bank of Patiala",42510,657,43167,734.61,36724,"(B) Regional Rural Bank","2015-06-24"
"State Bank of Patiala",421162,778033,1199195,23257.7,1140659,"(A) Public Sector Banks","2015-07-01"
"State Bank of Patiala",42621,657,43278,742.15,36729,"(B) Regional Rural Bank","2015-07-01"
"State Bank of Patiala",421255,778081,1199336,23234.4,1140672,"(A) Public Sector Banks","2015-07-08"
"State Bank of Patiala",42840,657,43497,738.87,36741,"(B) Regional Rural Bank","2015-07-08"
"State Bank of Patiala",421336,778173,1199509,23222.28,1140675,"(A) Public Sector Banks","2015-07-15"
"State Bank of Patiala",43082,657,43739,772.49,36749,"(B) Regional Rural Bank","2015-07-15"
"State Bank of Patiala",421406,778241,1199647,23208.34,1140675,"(A) Public Sector Banks","2015-07-22"
"State Bank of Patiala",43256,657,43913,781.61,36750,"(B) Regional Rural Bank","2015-07-22"
"State Bank of Patiala",422408,778995,1201403,23183.28,1140675,"(A) Public Sector Banks","2015-07-29"
"State Bank of Patiala",43519,657,44176,800.13,36750,"(B) Regional Rural Bank","2015-07-29"
"State Bank of Patiala",423691,780344,1204035,23132.17,1141422,"(A) Public Sector Banks","2015-08-05"
"State Bank of Patiala",43740,657,44397,765.51,36751,"(B) Regional Rural Bank","2015-08-05"
"State Bank of Patiala",423892,780506,1204398,23107.04,1141640,"(A) Public Sector Banks","2015-08-12"
"State Bank of Patiala",43987,657,44644,800.92,36756,"(B) Regional Rural Bank","2015-08-12"
"State Bank of Patiala",424030,780619,1204649,23082.47,1141650,"(A) Public Sector Banks","2015-08-19"
"State Bank of Patiala",44131,657,44788,803.73,36756,"(B) Regional Rural Bank","2015-08-19"
"State Bank of Patiala",424281,780963,1205244,23052.46,1141915,"(A) Public Sector Banks","2015-08-26"
"State Bank of Patiala",44316,657,44973,784.78,36757,"(B) Regional Rural Bank","2015-08-26"
"State Bank of Patiala",424384,781093,1205477,23022.3,1141988,"(A) Public Sector Banks","2015-09-02"
"State Bank of Patiala",44439,657,45096,772.28,36757,"(B) Regional Rural Bank","2015-09-02"
"State Bank of Patiala",424529,781260,1205789,22992.14,1142112,"(A) Public Sector Banks","2015-09-09"
"State Bank of Patiala",44557,657,45214,764.62,36759,"(B) Regional Rural Bank","2015-09-09"
"State Bank of Patiala",424577,781351,1205928,22962.26,1142144,"(A) Public Sector Banks","2015-09-16"
"State Bank of Patiala",44693,657,45350,782.44,36759,"(B) Regional Rural Bank","2015-09-16"
"State Bank of Patiala",424694,781491,1206185,22932.4,1142198,"(A) Public Sector Banks","2015-09-23"
"State Bank of Patiala",44838,657,45495,799.5,36759,"(B) Regional Rural Bank","2015-09-23"
"State Bank of Patiala",424796,781569,1206365,22871.34,1142233,"(A) Public Sector Banks","2015-10-07"
"State Bank of Patiala",45120,662,45782,801.07,36761,"(B) Regional Rural Bank","2015-10-07"
