Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Indian Overseas Bank",651356,9156,660512,6431.64,162568,"(B) Regional Rural Bank","2015-04-22"
"Indian Overseas Bank",1085698,2038320,3124018,26609.92,3029223,"(A) Public Sector Banks","2015-04-29"
"Indian Overseas Bank",664414,9156,673570,6595.82,162568,"(B) Regional Rural Bank","2015-04-29"
"Indian Overseas Bank",1093003,2044302,3137305,27233.89,3066284,"(A) Public Sector Banks","2015-05-06"
"Indian Overseas Bank",674054,9157,683211,6696.15,162568,"(B) Regional Rural Bank","2015-05-06"
"Indian Overseas Bank",1100809,2053607,3154416,28184.34,3083006,"(A) Public Sector Banks","2015-05-13"
"Indian Overseas Bank",684184,9159,693343,6938.43,162568,"(B) Regional Rural Bank","2015-05-13"
"Indian Overseas Bank",1110116,2064134,3174250,28657.4,3111458,"(A) Public Sector Banks","2015-05-20"
"Indian Overseas Bank",695687,9160,704847,7089.58,162568,"(B) Regional Rural Bank","2015-05-20"
"Indian Overseas Bank",1127587,2085543,3213130,29936.66,3153137,"(A) Public Sector Banks","2015-06-03"
"Indian Overseas Bank",716235,9176,725411,7223.49,162568,"(B) Regional Rural Bank","2015-06-03"
"Indian Overseas Bank",1136400,2095334,3231734,30362.28,3165480,"(A) Public Sector Banks","2015-06-10"
"Indian Overseas Bank",724254,9229,733483,7507.86,162568,"(B) Regional Rural Bank","2015-06-10"
"Indian Overseas Bank",1146617,2106737,3253354,30964.15,3173216,"(A) Public Sector Banks","2015-06-17"
"Indian Overseas Bank",732661,9286,741947,7653.63,162568,"(B) Regional Rural Bank","2015-06-17"
"Indian Overseas Bank",1159633,2120915,3280548,31497.39,3188551,"(A) Public Sector Banks","2015-06-24"
"Indian Overseas Bank",741515,9387,750902,7924.2,162568,"(B) Regional Rural Bank","2015-06-24"
"Indian Overseas Bank",1173092,2134562,3307654,32158.41,3207738,"(A) Public Sector Banks","2015-07-01"
"Indian Overseas Bank",748244,9447,757691,8104.52,162568,"(B) Regional Rural Bank","2015-07-01"
"Indian Overseas Bank",1194364,2155142,3349506,33169.59,3266358,"(A) Public Sector Banks","2015-07-08"
"Indian Overseas Bank",765984,9449,775433,8398.15,162568,"(B) Regional Rural Bank","2015-07-08"
"Indian Overseas Bank",1223160,2183272,3406432,34117.01,3313921,"(A) Public Sector Banks","2015-07-15"
"Indian Overseas Bank",768757,9449,778206,8596.11,162568,"(B) Regional Rural Bank","2015-07-15"
"Indian Overseas Bank",1241490,2203874,3445364,34467.46,3330190,"(A) Public Sector Banks","2015-07-22"
"Indian Overseas Bank",773106,9496,782602,8742.36,162568,"(B) Regional Rural Bank","2015-07-22"
"Indian Overseas Bank",1262630,2228013,3490643,34987.05,3394707,"(A) Public Sector Banks","2015-07-29"
"Indian Overseas Bank",780266,9508,789774,8897.36,162759,"(B) Regional Rural Bank","2015-07-29"
"Indian Overseas Bank",1273317,2240768,3514085,35964.55,3414634,"(A) Public Sector Banks","2015-08-05"
"Indian Overseas Bank",785409,9513,794922,9337.89,162759,"(B) Regional Rural Bank","2015-08-05"
"Indian Overseas Bank",1288046,2258122,3546168,36855.09,3438126,"(A) Public Sector Banks","2015-08-12"
"Indian Overseas Bank",791595,9522,801117,9631.68,162759,"(B) Regional Rural Bank","2015-08-12"
"Indian Overseas Bank",1299222,2272517,3571739,37327.6,3461412,"(A) Public Sector Banks","2015-08-19"
"Indian Overseas Bank",797103,9569,806672,9815.12,162759,"(B) Regional Rural Bank","2015-08-19"
"Indian Overseas Bank",1311083,2287235,3598318,37815.61,3479878,"(A) Public Sector Banks","2015-08-26"
"Indian Overseas Bank",803088,9607,812695,10281.9,162759,"(B) Regional Rural Bank","2015-08-26"
"Indian Overseas Bank",1323182,2300057,3623239,38691.65,3507667,"(A) Public Sector Banks","2015-09-02"
"Indian Overseas Bank",807488,9655,817143,10408.36,162759,"(B) Regional Rural Bank","2015-09-02"
"Indian Overseas Bank",1330205,2307780,3637985,39283.58,3522411,"(A) Public Sector Banks","2015-09-09"
"Indian Overseas Bank",811416,9669,821085,10544.35,162759,"(B) Regional Rural Bank","2015-09-09"
"Indian Overseas Bank",1339387,2319129,3658516,39665.57,3542285,"(A) Public Sector Banks","2015-09-16"
"Indian Overseas Bank",814914,9682,824596,10826.31,162759,"(B) Regional Rural Bank","2015-09-16"
"Indian Overseas Bank",1348164,2329684,3677848,40222.61,3563207,"(A) Public Sector Banks","2015-09-23"
"Indian Overseas Bank",818255,9685,827940,10959.85,162759,"(B) Regional Rural Bank","2015-09-23"
"Indian Overseas Bank",1360874,2345090,3705964,41901.14,3588573,"(A) Public Sector Banks","2015-10-07"
"Indian Overseas Bank",825518,9693,835211,11189.89,208759,"(B) Regional Rural Bank","2015-10-07"
"Indian Overseas Bank",1367943,2353858,3721801,42240.77,3605447,"(A) Public Sector Banks","2015-10-14"
"Indian Overseas Bank",837762,9694,847456,11368.92,208759,"(B) Regional Rural Bank","2015-10-14"
"Indian Overseas Bank",1374120,2362980,3737100,42147.85,3617165,"(A) Public Sector Banks","2015-10-21"
"Indian Overseas Bank",832797,9695,842492,11632.88,180209,"(B) Regional Rural Bank","2015-10-21"
"Indian Overseas Bank",1378075,2369023,3747098,42142.09,3629794,"(A) Public Sector Banks","2015-10-28"
"Indian Overseas Bank",834796,9695,844491,11596.2,210289,"(B) Regional Rural Bank","2015-10-28"
"Indian Overseas Bank",1383545,2376228,3759773,43013.52,3640985,"(A) Public Sector Banks","2015-11-04"
"Indian Overseas Bank",837946,9696,847642,11873.46,210289,"(B) Regional Rural Bank","2015-11-04"
"Indian Overseas Bank",1388140,2382483,3770623,43366.88,3649506,"(A) Public Sector Banks","2015-11-11"
"Indian Overseas Bank",840649,9696,850345,11990.95,210289,"(B) Regional Rural Bank","2015-11-11"
"Indian Overseas Bank",1392040,2389513,3781553,43750.35,3658400,"(A) Public Sector Banks","2015-11-18"
"Indian Overseas Bank",843325,9696,853021,12149.3,210289,"(B) Regional Rural Bank","2015-11-18"
"Indian Overseas Bank",1397288,2396783,3794071,43995.38,3671377,"(A) Public Sector Banks","2015-11-25"
"Indian Overseas Bank",846513,9696,856209,12187.06,210289,"(B) Regional Rural Bank","2015-11-25"
"Indian Overseas Bank",1401360,2401548,3802908,44520.12,3678681,"(A) Public Sector Banks","2015-12-02"
"Indian Overseas Bank",846808,9697,856505,12160.42,210289,"(B) Regional Rural Bank","2015-12-02"
"Indian Overseas Bank",1405668,2407870,3813538,45299.43,3686187,"(A) Public Sector Banks","2015-12-09"
"Indian Overseas Bank",851067,9699,860766,12482.73,380433,"(B) Regional Rural Bank","2015-12-09"
"Indian Overseas Bank",1410499,2415493,3825992,45955.37,3694415,"(A) Public Sector Banks","2015-12-16"
"Indian Overseas Bank",853785,9699,863484,12569.71,380433,"(B) Regional Rural Bank","2015-12-16"
"Indian Overseas Bank",1415131,2421338,3836469,46408.61,3706511,"(A) Public Sector Banks","2015-12-23"
"Indian Overseas Bank",854136,9697,863833,12563.63,380433,"(B) Regional Rural Bank","2015-12-23"
"Indian Overseas Bank",1417449,2424087,3841536,46603.39,3712142,"(A) Public Sector Banks","2015-12-30"
"Indian Overseas Bank",858308,9696,868004,12966.41,397959,"(B) Regional Rural Bank","2015-12-30"
"Indian Overseas Bank",1418106,2424795,3842901,46860.37,3713391,"(A) Public Sector Banks","2016-01-06"
"Indian Overseas Bank",860839,9696,870535,13175.07,397959,"(B) Regional Rural Bank","2016-01-06"
"Indian Overseas Bank",1424087,2431748,3855835,47610.58,3723814,"(A) Public Sector Banks","2016-01-13"
"Indian Overseas Bank",863145,9710,872855,13160.99,616138,"(B) Regional Rural Bank","2016-01-13"
"Indian Overseas Bank",1426566,2433188,3859754,47736,3728017,"(A) Public Sector Banks","2016-01-20"
"Indian Overseas Bank",865796,9712,875508,13431.78,616138,"(B) Regional Rural Bank","2016-01-20"
"Indian Overseas Bank",1426748,2433383,3860131,47805.81,3729184,"(A) Public Sector Banks","2016-01-27"
"Indian Overseas Bank",867760,9717,877477,13511.99,616138,"(B) Regional Rural Bank","2016-01-27"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-02-10"
"Indian Overseas Bank",873678,9718,883396,14042.51,572294,"(B) Regional Rural Bank","2016-02-10"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3730544,"(A) Public Sector Banks","2016-02-17"
"Indian Overseas Bank",875513,9718,885231,14278.3,616138,"(B) Regional Rural Bank","2016-02-17"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-02-24"
"Indian Overseas Bank",878172,9717,887889,14704.27,616138,"(B) Regional Rural Bank","2016-02-24"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-03-02"
"Indian Overseas Bank",878172,9717,887889,14704.27,616138,"(B) Regional Rural Bank","2016-03-02"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-03-09"
"Indian Overseas Bank",878172,9717,887889,14704.27,616138,"(B) Regional Rural Bank","2016-03-09"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-03-16"
"Indian Overseas Bank",883626,9720,893346,15453.87,616138,"(B) Regional Rural Bank","2016-03-16"
"Indian Overseas Bank",1426748,2433539,3860287,47805.53,3729205,"(A) Public Sector Banks","2016-03-23"
"Indian Overseas Bank",883626,9720,893346,15453.87,616138,"(B) Regional Rural Bank","2016-03-23"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-03-30"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-03-30"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-04-06"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-04-06"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-04-13"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-04-13"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-04-20"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-04-20"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-04-27"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-04-27"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-05-04"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-05-04"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-05-11"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-05-11"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-05-18"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-05-18"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-05-25"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-05-25"
"Indian Overseas Bank",1428748,2433885,3862633,47805.53,3729205,"(A) Public Sector Banks","2016-06-01"
"Indian Overseas Bank",886841,9717,896558,16131.31,616138,"(B) Regional Rural Bank","2016-06-01"
"Indian Overseas Bank",896913,1760700,2657613,1198.42,2530863,"(A) Public Sector Banks","2015-01-21"
"Indian Overseas Bank",448054,9128,457182,3608.3,5898,"(B) Regional Rural Bank","2015-01-21"
"Indian Overseas Bank",1119541,2075277,3194818,29124.46,3135748,"(A) Public Sector Banks","2015-05-27"
"Indian Overseas Bank",706798,9160,715958,7272.23,162568,"(B) Regional Rural Bank","2015-05-27"
"Indian Overseas Bank",1353636,2336280,3689916,41443.55,3573076,"(A) Public Sector Banks","2015-09-30"
"Indian Overseas Bank",821783,9687,831470,11207.45,208759,"(B) Regional Rural Bank","2015-09-30"
"Indian Overseas Bank",1426748,2433534,3860282,47805.04,3729205,"(A) Public Sector Banks","2016-02-03"
"Indian Overseas Bank",870733,9718,880451,13850.98,616138,"(B) Regional Rural Bank","2016-02-03"
