Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,117369985,94312679,211682664,5450701.68,167484958,Summary,01/04/2017
Regional Rural Banks,38552780,6124686,44677466,1297670.53,33556085,Summary,01/04/2017
Private Sector Banks,5186102,3526261,8712363,258707.05,8230258,Summary,01/04/2017
Grand Total,161108867,103963626,265072493,7007079.26,209271301,Summary,01/04/2017
Allahabad Bank,5189983,1130939,6320922,129590.17,4922165,(A) Public Sector Banks,01/04/2017
Andhra Bank,1607560,773359,2380919,40065.92,1924951,(A) Public Sector Banks,01/04/2017
Bank of Baroda,7783545,10567128,18350673,537818.37,17338032,(A) Public Sector Banks,01/04/2017
Bank of India,7447836,8622882,16070718,373470.51,15337563,(A) Public Sector Banks,01/04/2017
Bank of Maharashtra,2922884,921758,3844642,101080.12,1723509,(A) Public Sector Banks,01/04/2017
Bhartiya Mahila Bank,0,69141,69141,2426.46,69141,(A) Public Sector Banks,01/04/2017
Canara Bank,4279262,1993873,6273135,212405.57,4272943,(A) Public Sector Banks,01/04/2017
Central Bank of India,6893567,1712671,8606238,182274.34,6120736,(A) Public Sector Banks,01/04/2017
Corporation Bank,1361373,1351884,2713257,130307.37,2591432,(A) Public Sector Banks,01/04/2017
Dena Bank,2871272,899544,3770816,82618.04,2619215,(A) Public Sector Banks,01/04/2017
IDBI Bank Ltd.,587497,571182,1158679,25091.06,954920,(A) Public Sector Banks,01/04/2017
Indian Bank,2143620,1072924,3216544,56177.79,2654064,(A) Public Sector Banks,01/04/2017
Indian Overseas Bank,925371,3223850,4149221,87723.64,3827335,(A) Public Sector Banks,01/04/2017
Oriental Bank of Commerce,2181813,1713264,3895077,473077.27,3657476,(A) Public Sector Banks,01/04/2017
Punjab & Sind Bank,839271,426496,1265767,72197.02,1249803,(A) Public Sector Banks,01/04/2017
Punjab National Bank,13262786,2464192,15726978,336757.48,13779742,(A) Public Sector Banks,01/04/2017
State Bank of Bikaner & Jaipur,1994123,1921292,3915415,174166.77,3473823,(A) Public Sector Banks,01/04/2017
State Bank of Hyderabad,1005092,1830935,2836027,51771.39,2740078,(A) Public Sector Banks,01/04/2017
State Bank of India,35032589,41652567,76685156,1088657.59,52823713,(A) Public Sector Banks,01/04/2017
State Bank of Mysore,840607,226610,1067217,15014.62,872943,(A) Public Sector Banks,01/04/2017
State Bank of Patiala,461909,730544,1192453,26138.38,1043324,(A) Public Sector Banks,01/04/2017
State Bank of Travancore,77768,686837,764605,20150.01,383181,(A) Public Sector Banks,01/04/2017
Syndicate Bank,2859425,1365767,4225192,138788.73,3723014,(A) Public Sector Banks,01/04/2017
UCO Bank,2914837,2559964,5474801,143735.94,3856783,(A) Public Sector Banks,01/04/2017
Union Bank of India,5068778,1384224,6453002,153796.68,5334555,(A) Public Sector Banks,01/04/2017
United Bank of India,5937469,3810577,9748046,773100.32,8735788,(A) Public Sector Banks,01/04/2017
Vijaya Bank,879748,628275,1508023,22300.12,1454729,(A) Public Sector Banks,01/04/2017
Public Sector Banks Sub Total,117369985,94312679,211682664,5450701.68,167484958,(A) Public Sector Banks,01/04/2017
Allahabad Bank,910893,168771,1079664,28959.53,767889,(B) Regional Rural Bank,01/04/2017
Andhra Bank,160568,13859,174427,2976.74,98674,(B) Regional Rural Bank,01/04/2017
Bank of Baroda,4032338,1071835,5104173,156109.05,4575378,(B) Regional Rural Bank,01/04/2017
Bank of India,2708448,871378,3579826,72984.89,3202089,(B) Regional Rural Bank,01/04/2017
Bank of Maharashtra,689022,158895,847917,26482.35,450356,(B) Regional Rural Bank,01/04/2017
Canara Bank,639275,437677,1076952,72786.55,1041289,(B) Regional Rural Bank,01/04/2017
Central Bank of India,3536961,678039,4215000,142763.68,3868987,(B) Regional Rural Bank,01/04/2017
Dena Bank,297570,21675,319245,18240.6,288934,(B) Regional Rural Bank,01/04/2017
Indian Bank,393454,101432,494886,8028.54,369735,(B) Regional Rural Bank,01/04/2017
Indian Overseas Bank,984096,9752,993848,25482.72,616138,(B) Regional Rural Bank,01/04/2017
Jammu & Kashmir Bank Ltd,84127,14962,99089,5088,17583,(B) Regional Rural Bank,01/04/2017
Punjab & Sind Bank,17447,704,18151,0,12110,(B) Regional Rural Bank,01/04/2017
Punjab National Bank,3074387,403258,3477645,128756.63,2613774,(B) Regional Rural Bank,01/04/2017
State Bank of Bikaner & Jaipur,2267363,52845,2320208,39161.72,1308594,(B) Regional Rural Bank,01/04/2017
