Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,87055555,69914136,156969691,2345651.29,136734335,Summary,01/06/2016
Regional Rural Banks,30781274,5081912,35863186,514878.58,25785025,Summary,01/06/2016
Private Sector Banks,4408683,2961871,7370554,120376.97,6621503,Summary,01/06/2016
Grand Total,122245512,77957919,200203431,2980906.84,169140863,Summary,01/06/2016
Allahabad Bank,3004855,936898,3941753,32737.25,3886846,(A) Public Sector Banks,01/06/2016
Andhra Bank,1439534,712651,2152185,17819.66,1915185,(A) Public Sector Banks,01/06/2016
Bank of Baroda,4993054,6480931,11473985,200974.87,10956104,(A) Public Sector Banks,01/06/2016
Bank of India,4471150,5560538,10031688,98931.35,9327494,(A) Public Sector Banks,01/06/2016
Bank of Maharashtra,1869784,747481,2617265,29208.67,1723509,(A) Public Sector Banks,01/06/2016
Bhartiya Mahila Bank,0,67102,67102,1317.06,67102,(A) Public Sector Banks,01/06/2016
Canara Bank,4947453,2251251,7198704,118948.07,6944270,(A) Public Sector Banks,01/06/2016
Central Bank of India,5605774,1491117,7096891,69309.82,5465644,(A) Public Sector Banks,01/06/2016
Corporation Bank,1278002,1281184,2559186,68848.51,2513876,(A) Public Sector Banks,01/06/2016
Dena Bank,2413784,1013212,3426996,44614.2,2798000,(A) Public Sector Banks,01/06/2016
IDBI Bank Ltd.,549174,480122,1029296,7304.14,931880,(A) Public Sector Banks,01/06/2016
Indian Bank,1946855,988317,2935172,27653.93,2901521,(A) Public Sector Banks,01/06/2016
Indian Overseas Bank,1418106,2424795,3842901,46860.37,3713391,(A) Public Sector Banks,01/06/2016
Oriental Bank of Commerce,2042901,1383499,3426400,260491.36,3358536,(A) Public Sector Banks,01/06/2016
Punjab & Sind Bank,849076,425535,1274611,42077.44,1266114,(A) Public Sector Banks,01/06/2016
Punjab National Bank,10337846,2027883,12365729,131264.06,9965676,(A) Public Sector Banks,01/06/2016
State Bank of Bikaner & Jaipur,1687909,1673560,3361469,85394.94,2969556,(A) Public Sector Banks,01/06/2016
State Bank of Hyderabad,994501,1806865,2801366,23960.04,2739635,(A) Public Sector Banks,01/06/2016
State Bank of India,20897296,27709731,48607027,362427.33,40263805,(A) Public Sector Banks,01/06/2016
State Bank of Mysore,670275,217535,887810,6387.67,796749,(A) Public Sector Banks,01/06/2016
State Bank of Patiala,425260,782119,1207379,16889.01,1142499,(A) Public Sector Banks,01/06/2016
State Bank of Travancore,45930,401666,447596,8668.06,302193,(A) Public Sector Banks,01/06/2016
Syndicate Bank,2703170,1267039,3970209,71996.42,3526491,(A) Public Sector Banks,01/06/2016
UCO Bank,3262766,3386158,6648924,139633.83,6450464,(A) Public Sector Banks,01/06/2016
Union Bank of India,4448325,1237240,5685565,67892.26,5433843,(A) Public Sector Banks,01/06/2016
United Bank of India,3978565,2629956,6608521,352748.08,4071848,(A) Public Sector Banks,01/06/2016
Vijaya Bank,774210,529751,1303961,11292.87,1302104,(A) Public Sector Banks,01/06/2016
Public Sector Banks Sub Total,87055555,69914136,156969691,2345651.29,136734335,(A) Public Sector Banks,01/06/2016
Allahabad Bank,638108,152469,790577,6973.12,758925,(B) Regional Rural Bank,01/06/2016
Andhra Bank,142994,12569,155563,1299.87,97557,(B) Regional Rural Bank,01/06/2016
Bank of Baroda,2824569,796269,3620838,53292.04,3368217,(B) Regional Rural Bank,01/06/2016
Bank of India,2167610,711047,2878657,18015.44,2654019,(B) Regional Rural Bank,01/06/2016
Bank of Maharashtra,381865,68491,450356,6367.32,450356,(B) Regional Rural Bank,01/06/2016
Canara Bank,542784,374940,917724,21337.94,917724,(B) Regional Rural Bank,01/06/2016
Central Bank of India,3556569,680586,4237155,78669.77,3887911,(B) Regional Rural Bank,01/06/2016
Dena Bank,275175,18708,293883,2845.79,280810,(B) Regional Rural Bank,01/06/2016
Indian Bank,336794,70961,407755,3306.94,274218,(B) Regional Rural Bank,01/06/2016
Indian Overseas Bank,860839,9696,870535,13175.07,397959,(B) Regional Rural Bank,01/06/2016
Jammu & Kashmir Bank Ltd,69162,12922,82084,2325.78,0,(B) Regional Rural Bank,01/06/2016
Punjab & Sind Bank,13071,2574,15645,200.99,12100,(B) Regional Rural Bank,01/06/2016
Punjab National Bank,2823886,359460,3183346,53318.63,2066948,(B) Regional Rural Bank,01/06/2016
State Bank of Bikaner & Jaipur,1683186,38613,1721799,21671.87,869804,(B) Regional Rural Bank,01/06/2016
State Bank of Hyderabad,766012,86775,852787,20359.8,508374,(B) Regional Rural Bank,01/06/2016
State Bank of India,5514160,940929,6455089,71339.61,3419982,(B) Regional Rural Bank,01/06/2016
State Bank of Mysore,277025,83777,360802,1427.28,315807,(B) Regional Rural Bank,01/06/2016
State Bank of Patiala,45928,665,46593,1642.81,36767,(B) Regional Rural Bank,01/06/2016
Syndicate Bank,1649557,415810,2065367,43812.96,1887657,(B) Regional Rural Bank,01/06/2016
UCO Bank,864441,28489,892930,13541.7,536839,(B) Regional Rural Bank,01/06/2016
Union Bank of India,548437,142304,690741,3580.76,659578,(B) Regional Rural Bank,01/06/2016
United Bank of India,4799102,73858,4872960,76373.09,2383473,(B) Regional Rural Bank,01/06/2016
Regional Rural Banks Sub Total,30781274,5081912,35863186,514878.58,25785025,(B) Regional Rural Bank,01/06/2016
Axis Bank Ltd,122609,447138,569747,7537.55,525187,(C) Major Private Banks,01/06/2016
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,01/06/2016
Federal Bank Ltd,307815,68449,376264,11843.59,343349,(C) Major Private Banks,01/06/2016
HDFC Bank Ltd,294215,1241788,1536003,48414.61,1535325,(C) Major Private Banks,01/06/2016
ICICI Bank Ltd,2252491,334310,2586801,18206.04,2533884,(C) Major Private Banks,01/06/2016
IndusInd Bank Ltd,25841,251544,277385,1821.8,275022,(C) Major Private Banks,01/06/2016
Jammu & Kashmir Bank Ltd,1140325,120951,1261276,25921.56,810055,(C) Major Private Banks,01/06/2016
Karur Vysya Bank,17936,115537,133473,1109.92,122445,(C) Major Private Banks,01/06/2016
Kotak Mahindra Bank Ltd,91015,91075,182090,1461.98,112755,(C) Major Private Banks,01/06/2016
Lakshmi Vilas Bank Ltd,57320,99583,156903,1049.8,146956,(C) Major Private Banks,01/06/2016
RBL Bank Ltd,59787,35520,95307,541.48,95307,(C) Major Private Banks,01/06/2016
South Indian Bank Ltd,17457,86145,103602,1289.65,50120,(C) Major Private Banks,01/06/2016
Yes Bank Ltd,7459,5668,13127,128.22,11675,(C) Major Private Banks,01/06/2016
Major Private Banks Sub Total,4408683,2961871,7370554,120376.97,6621503,(C) Major Private Banks,01/06/2016
Public Sector Banks,88128862,70365325,158494187,2375397.07,137451168,Summary,01/13/2016
Regional Rural Banks,30935505,5111286,36046791,520344.77,26097303,Summary,01/13/2016
Private Sector Banks,4454332,2946752,7401084,115103.35,6954154,Summary,01/13/2016
Grand Total,123518699,78423363,201942062,3010845.19,170502625,Summary,01/13/2016
Allahabad Bank,3064899,938400,4003299,34618.72,3948335,(A) Public Sector Banks,01/13/2016
Andhra Bank,1441073,713027,2154100,18172.18,1915185,(A) Public Sector Banks,01/13/2016
Bank of Baroda,5045898,6543525,11589423,205646.6,11058705,(A) Public Sector Banks,01/13/2016
Bank of India,4546200,5624530,10170730,102185.19,9479593,(A) Public Sector Banks,01/13/2016
Bank of Maharashtra,2178236,684221,2862457,29548.24,1723509,(A) Public Sector Banks,01/13/2016
Bhartiya Mahila Bank,0,67158,67158,1335.38,67158,(A) Public Sector Banks,01/13/2016
Canara Bank,4958881,2254699,7213580,119990.49,6960617,(A) Public Sector Banks,01/13/2016
Central Bank of India,5646568,1494358,7140926,70558.23,5478491,(A) Public Sector Banks,01/13/2016
Corporation Bank,1279546,1282652,2562198,67843.02,2516530,(A) Public Sector Banks,01/13/2016
Dena Bank,2424486,1003053,3427539,46029.42,2798000,(A) Public Sector Banks,01/13/2016
IDBI Bank Ltd.,549689,480601,1030290,7437.8,932365,(A) Public Sector Banks,01/13/2016
Indian Bank,1951065,989421,2940486,27891.15,2906810,(A) Public Sector Banks,01/13/2016
Indian Overseas Bank,1424087,2431748,3855835,47610.58,3723814,(A) Public Sector Banks,01/13/2016
Oriental Bank of Commerce,2057202,1392789,3449991,265296.07,3380359,(A) Public Sector Banks,01/13/2016
Punjab & Sind Bank,849361,425561,1274922,42411.26,1266114,(A) Public Sector Banks,01/13/2016
Punjab National Bank,10407122,2034992,12442114,133776.63,9966105,(A) Public Sector Banks,01/13/2016
State Bank of Bikaner & Jaipur,1687951,1674722,3362673,86348.53,2970594,(A) Public Sector Banks,01/13/2016
State Bank of Hyderabad,994643,1807022,2801665,24124.23,2740466,(A) Public Sector Banks,01/13/2016
State Bank of India,21214200,28011121,49225321,362439.85,40472133,(A) Public Sector Banks,01/13/2016
State Bank of Mysore,670142,217743,887885,6523.68,797532,(A) Public Sector Banks,01/13/2016
State Bank of Patiala,425304,782180,1207484,16674.86,1142527,(A) Public Sector Banks,01/13/2016
State Bank of Travancore,46442,406957,453399,8696.32,314058,(A) Public Sector Banks,01/13/2016
Syndicate Bank,2706331,1267846,3974177,72850.65,3526337,(A) Public Sector Banks,01/13/2016
UCO Bank,3309005,3415824,6724829,142498.67,6526248,(A) Public Sector Banks,01/13/2016
Union Bank of India,4457492,1239084,5696576,69185.79,5443449,(A) Public Sector Banks,01/13/2016
United Bank of India,4017563,2651482,6669045,354105.09,4091936,(A) Public Sector Banks,01/13/2016
Vijaya Bank,775476,530609,1306085,11598.44,1304198,(A) Public Sector Banks,01/13/2016
Public Sector Banks Sub Total,88128862,70365325,158494187,2375397.07,137451168,(A) Public Sector Banks,01/13/2016
Allahabad Bank,640504,153041,793545,7036.25,758925,(B) Regional Rural Bank,01/13/2016
Andhra Bank,143122,12606,155728,1397.18,97566,(B) Regional Rural Bank,01/13/2016
Bank of Baroda,2846903,801111,3648014,54547.57,3370051,(B) Regional Rural Bank,01/13/2016
Bank of India,2180912,715159,2896071,19289.86,2654019,(B) Regional Rural Bank,01/13/2016
Bank of Maharashtra,381865,68491,450356,6368.27,450356,(B) Regional Rural Bank,01/13/2016
Canara Bank,542924,375069,917993,21338.03,917993,(B) Regional Rural Bank,01/13/2016
Central Bank of India,3558983,682091,4241074,79223.92,3910787,(B) Regional Rural Bank,01/13/2016
Dena Bank,275470,18752,294222,2864.44,282940,(B) Regional Rural Bank,01/13/2016
Indian Bank,337230,71003,408233,3225.93,274218,(B) Regional Rural Bank,01/13/2016
Indian Overseas Bank,863145,9710,872855,13160.99,616138,(B) Regional Rural Bank,01/13/2016
Jammu & Kashmir Bank Ltd,69382,12974,82356,2334.15,0,(B) Regional Rural Bank,01/13/2016
Punjab & Sind Bank,13122,2592,15714,201.01,12100,(B) Regional Rural Bank,01/13/2016
Punjab National Bank,2863207,360101,3223308,53818.79,2108955,(B) Regional Rural Bank,01/13/2016
State Bank of Bikaner & Jaipur,1698724,39000,1737724,21900.18,870047,(B) Regional Rural Bank,01/13/2016
State Bank of Hyderabad,766012,86775,852787,20359.8,508374,(B) Regional Rural Bank,01/13/2016
State Bank of India,5540088,951770,6491858,72808.52,3432874,(B) Regional Rural Bank,01/13/2016
State Bank of Mysore,277082,83803,360885,1427.77,315807,(B) Regional Rural Bank,01/13/2016
State Bank of Patiala,46007,665,46672,1006.92,36769,(B) Regional Rural Bank,01/13/2016
Syndicate Bank,1656683,416869,2073552,44605.92,1899334,(B) Regional Rural Bank,01/13/2016
UCO Bank,871802,29152,900954,13560.45,536839,(B) Regional Rural Bank,01/13/2016
Union Bank of India,550435,143171,693606,3604.67,659604,(B) Regional Rural Bank,01/13/2016
United Bank of India,4811903,77381,4889284,76264.13,2383607,(B) Regional Rural Bank,01/13/2016
Regional Rural Banks Sub Total,30935505,5111286,36046791,520344.77,26097303,(B) Regional Rural Bank,01/13/2016
Axis Bank Ltd,123276,449859,573135,7860,528110,(C) Major Private Banks,01/13/2016
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,01/13/2016
Federal Bank Ltd,311580,68703,380283,11936.73,346811,(C) Major Private Banks,01/13/2016
HDFC Bank Ltd,294506,1242441,1536947,48332.88,1536269,(C) Major Private Banks,01/13/2016
ICICI Bank Ltd,2291021,312742,2603763,12630.69,2550846,(C) Major Private Banks,01/13/2016
IndusInd Bank Ltd,26029,253010,279039,1609.82,276687,(C) Major Private Banks,01/13/2016
Jammu & Kashmir Bank Ltd,1142294,121525,1263819,26294.74,1116355,(C) Major Private Banks,01/13/2016
Karur Vysya Bank,17993,115928,133921,900.72,122772,(C) Major Private Banks,01/13/2016
Kotak Mahindra Bank Ltd,91140,91117,182257,1454,112781,(C) Major Private Banks,01/13/2016
Lakshmi Vilas Bank Ltd,57386,99950,157336,1060.92,146956,(C) Major Private Banks,01/13/2016
RBL Bank Ltd,59787,35520,95307,548.97,95307,(C) Major Private Banks,01/13/2016
South Indian Bank Ltd,17445,86121,103566,1290.51,50162,(C) Major Private Banks,01/13/2016
Yes Bank Ltd,7462,5673,13135,132.6,11675,(C) Major Private Banks,01/13/2016
Major Private Banks Sub Total,4454332,2946752,7401084,115103.35,6954154,(C) Major Private Banks,01/13/2016
Public Sector Banks,89092139,71017793,160109932,2418079,138159251,Summary,01/20/2016
Regional Rural Banks,31153389,5133788,36287177,528666.49,26221463,Summary,01/20/2016
Private Sector Banks,4463800,2956678,7420478,117083.17,6969920,Summary,01/20/2016
Grand Total,124709328,79108259,203817587,3063828.66,171350634,Summary,01/20/2016
Allahabad Bank,3088245,942314,4030559,34863.14,3975652,(A) Public Sector Banks,01/20/2016
Andhra Bank,1442849,712199,2155048,18197.08,1915208,(A) Public Sector Banks,01/20/2016
Bank of Baroda,5092889,6597869,11690758,208414.68,11147326,(A) Public Sector Banks,01/20/2016
Bank of India,4600008,5667479,10267487,104615.05,9551711,(A) Public Sector Banks,01/20/2016
Bank of Maharashtra,2344920,775368,3120288,45392.41,1721983,(A) Public Sector Banks,01/20/2016
Bhartiya Mahila Bank,0,67197,67197,1350.73,67197,(A) Public Sector Banks,01/20/2016
Canara Bank,4974899,2257874,7232773,119566.65,6978290,(A) Public Sector Banks,01/20/2016
Central Bank of India,5690297,1497548,7187845,71680.04,5530102,(A) Public Sector Banks,01/20/2016
Corporation Bank,1281317,1284654,2565971,69492.08,2565971,(A) Public Sector Banks,01/20/2016
Dena Bank,2432859,998966,3431825,47180.21,2798000,(A) Public Sector Banks,01/20/2016
IDBI Bank Ltd.,550662,481036,1031698,7576.24,932831,(A) Public Sector Banks,01/20/2016
Indian Bank,1954861,990425,2945286,27645.54,2911542,(A) Public Sector Banks,01/20/2016
Indian Overseas Bank,1426566,2433188,3859754,47736,3728017,(A) Public Sector Banks,01/20/2016
Oriental Bank of Commerce,2066006,1399005,3465011,265267.16,3392755,(A) Public Sector Banks,01/20/2016
Punjab & Sind Bank,849565,425541,1275106,42422.24,1266099,(A) Public Sector Banks,01/20/2016
Punjab National Bank,10508390,2044637,12553027,137740.04,9966583,(A) Public Sector Banks,01/20/2016
State Bank of Bikaner & Jaipur,1712154,1691485,3403639,86068.55,3008625,(A) Public Sector Banks,01/20/2016
State Bank of Hyderabad,995004,1807470,2802474,24566,2740466,(A) Public Sector Banks,01/20/2016
State Bank of India,21575102,28365152,49940254,362460.16,40725212,(A) Public Sector Banks,01/20/2016
State Bank of Mysore,670277,217625,887902,6607.35,797532,(A) Public Sector Banks,01/20/2016
State Bank of Patiala,425439,782360,1207799,16629.23,1142596,(A) Public Sector Banks,01/20/2016
State Bank of Travancore,47029,413167,460196,8683.9,314058,(A) Public Sector Banks,01/20/2016
Syndicate Bank,2710327,1267126,3977453,73542.38,3535299,(A) Public Sector Banks,01/20/2016
UCO Bank,3342614,3445988,6788602,144538.88,6590003,(A) Public Sector Banks,01/20/2016
Union Bank of India,4471152,1241380,5712532,70090.33,5453915,(A) Public Sector Banks,01/20/2016
United Bank of India,4061894,2679224,6741118,364048.85,4097144,(A) Public Sector Banks,01/20/2016
Vijaya Bank,776814,531516,1308330,11704.08,1305134,(A) Public Sector Banks,01/20/2016
Public Sector Banks Sub Total,89092139,71017793,160109932,2418079,138159251,(A) Public Sector Banks,01/20/2016
Allahabad Bank,642952,153625,796577,7109.49,758925,(B) Regional Rural Bank,01/20/2016
Andhra Bank,143329,12703,156032,1432.79,97567,(B) Regional Rural Bank,01/20/2016
Bank of Baroda,2871947,806181,3678128,55680.01,3374169,(B) Regional Rural Bank,01/20/2016
Bank of India,2189763,718294,2908057,19669.05,2654019,(B) Regional Rural Bank,01/20/2016
Bank of Maharashtra,381865,68491,450356,6368.27,450356,(B) Regional Rural Bank,01/20/2016
Canara Bank,543327,375341,918668,21339.84,918668,(B) Regional Rural Bank,01/20/2016
Central Bank of India,3560964,682950,4243914,80264.51,3988152,(B) Regional Rural Bank,01/20/2016
Dena Bank,276592,18847,295439,2889.53,284130,(B) Regional Rural Bank,01/20/2016
Indian Bank,337356,71023,408379,3211.33,274218,(B) Regional Rural Bank,01/20/2016
Indian Overseas Bank,865796,9712,875508,13431.78,616138,(B) Regional Rural Bank,01/20/2016
Jammu & Kashmir Bank Ltd,69675,13037,82712,2396,0,(B) Regional Rural Bank,01/20/2016
Punjab & Sind Bank,13158,2601,15759,195.05,12100,(B) Regional Rural Bank,01/20/2016
Punjab National Bank,2885735,360916,3246651,54259.21,2140757,(B) Regional Rural Bank,01/20/2016
State Bank of Bikaner & Jaipur,1716005,39334,1755339,22270.92,870325,(B) Regional Rural Bank,01/20/2016
State Bank of Hyderabad,766012,86775,852787,20359.8,508374,(B) Regional Rural Bank,01/20/2016
State Bank of India,5576800,960016,6536816,75076.53,3441360,(B) Regional Rural Bank,01/20/2016
State Bank of Mysore,277125,83826,360951,1428.03,315807,(B) Regional Rural Bank,01/20/2016
State Bank of Patiala,46100,665,46765,1000.56,36769,(B) Regional Rural Bank,01/20/2016
Syndicate Bank,1663447,417712,2081159,45072.01,1899334,(B) Regional Rural Bank,01/20/2016
UCO Bank,880132,29759,909891,13576.03,536839,(B) Regional Rural Bank,01/20/2016
Union Bank of India,552662,144173,696835,3620.89,659635,(B) Regional Rural Bank,01/20/2016
United Bank of India,4892647,77807,4970454,78014.84,2383821,(B) Regional Rural Bank,01/20/2016
Regional Rural Banks Sub Total,31153389,5133788,36287177,528666.49,26221463,(B) Regional Rural Bank,01/20/2016
Axis Bank Ltd,123838,451787,575625,7597.57,530187,(C) Major Private Banks,01/20/2016
City Union Bank Ltd,14413,64163,78576,1050.77,59423,(C) Major Private Banks,01/20/2016
Federal Bank Ltd,315485,68932,384417,11976.62,350796,(C) Major Private Banks,01/20/2016
HDFC Bank Ltd,296437,1246849,1543286,49581.39,1542608,(C) Major Private Banks,01/20/2016
ICICI Bank Ltd,2291524,313155,2604679,12601.73,2551762,(C) Major Private Banks,01/20/2016
IndusInd Bank Ltd,26194,255056,281250,2084,278957,(C) Major Private Banks,01/20/2016
Jammu & Kashmir Bank Ltd,1144443,121919,1266362,26769.95,1116472,(C) Major Private Banks,01/20/2016
Karur Vysya Bank,18046,116238,134284,939.62,122771,(C) Major Private Banks,01/20/2016
Kotak Mahindra Bank Ltd,91294,91175,182469,1427.18,112844,(C) Major Private Banks,01/20/2016
Lakshmi Vilas Bank Ltd,57425,100080,157505,1095.68,146956,(C) Major Private Banks,01/20/2016
RBL Bank Ltd,59787,35520,95307,546.72,95307,(C) Major Private Banks,01/20/2016
South Indian Bank Ltd,17445,86121,103566,1290.51,50162,(C) Major Private Banks,01/20/2016
Yes Bank Ltd,7469,5683,13152,121.43,11675,(C) Major Private Banks,01/20/2016
Major Private Banks Sub Total,4463800,2956678,7420478,117083.17,6969920,(C) Major Private Banks,01/20/2016
Public Sector Banks,89537898,71298083,160835981,2427730.84,138621275,Summary,01/27/2016
Regional Rural Banks,31248470,5153529,36401999,535818.33,26389394,Summary,01/27/2016
Private Sector Banks,4478240,2962470,7440710,116097.14,6971159,Summary,01/27/2016
Grand Total,125264608,79414082,204678690,3079646.31,171981828,Summary,01/27/2016
Allahabad Bank,3136117,943668,4079785,35948.03,4024878,(A) Public Sector Banks,01/27/2016
Andhra Bank,1443669,711941,2155610,18166.23,1914853,(A) Public Sector Banks,01/27/2016
Bank of Baroda,5133801,6644154,11777955,208374.78,11225574,(A) Public Sector Banks,01/27/2016
Bank of India,4636847,5702258,10339105,105676.32,9674021,(A) Public Sector Banks,01/27/2016
Bank of Maharashtra,2349803,776646,3126449,45518.64,1721983,(A) Public Sector Banks,01/27/2016
Bhartiya Mahila Bank,0,67210,67210,1345.06,67210,(A) Public Sector Banks,01/27/2016
Canara Bank,4984521,2260933,7245454,118348.67,6989934,(A) Public Sector Banks,01/27/2016
Central Bank of India,5715643,1499509,7215152,72253.92,5547323,(A) Public Sector Banks,01/27/2016
Corporation Bank,1282268,1285734,2568002,69528.37,2568002,(A) Public Sector Banks,01/27/2016
Dena Bank,2449742,998123,3447865,48134.97,2798000,(A) Public Sector Banks,01/27/2016
IDBI Bank Ltd.,551433,481680,1033113,7624.12,933118,(A) Public Sector Banks,01/27/2016
