Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,133527523,115387510,248915033,5771809.71,187100549,Summary,01/03/2018
Regional Rural Banks,41951169,7678547,49629716,1235348.58,36435980,Summary,01/03/2018
Private Sector Banks,5987093,3890745,9877838,219535.31,9203253,Summary,01/03/2018
Grand Total,181465785,126956802,308422587,7226693.6,232739782,Summary,01/03/2018
Allahabad Bank,5723228,1473211,7196439,177674.18,5319995,(A) Public Sector Banks,01/03/2018
Andhra Bank,1482791,881051,2363842,30929.58,1777418,(A) Public Sector Banks,01/03/2018
Bank of Baroda,8631957,13698197,22330154,572354.97,21110804,(A) Public Sector Banks,01/03/2018
Bank of India,8977957,9891609,18869566,399917.72,17587661,(A) Public Sector Banks,01/03/2018
Bank of Maharashtra,3921116,1171070,5092186,103170.06,1015089,(A) Public Sector Banks,01/03/2018
Canara Bank,4614453,2120758,6735211,188321.97,4249405,(A) Public Sector Banks,01/03/2018
Central Bank of India,8622804,2120947,10743751,193134.5,8169026,(A) Public Sector Banks,01/03/2018
Corporation Bank,1366326,1344165,2710491,101422.55,2572731,(A) Public Sector Banks,01/03/2018
Dena Bank,3433135,921613,4354748,89303.6,2529668,(A) Public Sector Banks,01/03/2018
IDBI Bank Ltd.,460292,362743,823035,20207.8,667024,(A) Public Sector Banks,01/03/2018
Indian Bank,2200173,1097738,3297911,46790.52,3274676,(A) Public Sector Banks,01/03/2018
Indian Overseas Bank,976807,3405042,4381849,75990.93,4118136,(A) Public Sector Banks,01/03/2018
Oriental Bank of Commerce,2375267,1816686,4191953,424351.62,3768170,(A) Public Sector Banks,01/03/2018
Punjab & Sind Bank,663519,427914,1091433,57705.49,1004248,(A) Public Sector Banks,01/03/2018
Punjab National Bank,15270631,2777704,18048335,343223.99,15263629,(A) Public Sector Banks,01/03/2018
State Bank of India,44397058,60667904,105064962,1527983.13,70324018,(A) Public Sector Banks,01/03/2018
Syndicate Bank,3055372,1385090,4440462,131790.43,3855775,(A) Public Sector Banks,01/03/2018
UCO Bank,3455142,2832736,6287878,150281.08,3996239,(A) Public Sector Banks,01/03/2018
Union Bank of India,5844988,1623418,7468406,136636.25,4809915,(A) Public Sector Banks,01/03/2018
United Bank of India,7227891,4730255,11958146,981076.19,10223431,(A) Public Sector Banks,01/03/2018
Vijaya Bank,826616,637659,1464275,19543.15,1463491,(A) Public Sector Banks,01/03/2018
Public Sector Banks Sub Total,133527523,115387510,248915033,5771809.71,187100549,(A) Public Sector Banks,01/03/2018
Allahabad Bank,923537,169280,1092817,26597.29,768124,(B) Regional Rural Bank,01/03/2018
Andhra Bank,166290,17301,183591,2682.03,100898,(B) Regional Rural Bank,01/03/2018
Bank of Baroda,4593151,1273156,5866307,153941.28,4825183,(B) Regional Rural Bank,01/03/2018
