Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,146454077,124566979,271021056,6954037.85,221201338,Summary,01/02/2019
Regional Rural Banks,46932275,8832167,55764442,1501591.73,37877353,Summary,01/02/2019
Private Sector Banks,6213353,4282824,10496177,247712.6,9718172,Summary,01/02/2019
Grand Total,199599705,137681970,337281675,8703342.18,268796863,Summary,01/02/2019
Allahabad Bank,7235999,2749203,9985202,294738.75,6105129,(A) Public Sector Banks,01/02/2019
Andhra Bank,1601557,915523,2517080,39400.77,1863853,(A) Public Sector Banks,01/02/2019
Bank of Baroda,10667448,17918707,28586155,814663.42,26316128,(A) Public Sector Banks,01/02/2019
Bank of India,10161862,10747190,20909052,517264.22,18880065,(A) Public Sector Banks,01/02/2019
Bank of Maharashtra,4207843,1223777,5431620,126677.42,1179471,(A) Public Sector Banks,01/02/2019
Canara Bank,4904120,2202830,7106950,221723.06,4262441,(A) Public Sector Banks,01/02/2019
Central Bank of India,10353636,2300055,12653691,267564.4,11832844,(A) Public Sector Banks,01/02/2019
Corporation Bank,1426627,1530267,2956894,112255.19,2667767,(A) Public Sector Banks,01/02/2019
Dena Bank,3782779,964186,4746965,118897.64,3383310,(A) Public Sector Banks,01/02/2019
IDBI Bank Ltd.,468712,368531,837243,22988.76,712082,(A) Public Sector Banks,01/02/2019
Indian Bank,2408301,1162534,3570835,52198.46,3536234,(A) Public Sector Banks,01/02/2019
Indian Overseas Bank,1000864,3494940,4495804,91406.71,4242424,(A) Public Sector Banks,01/02/2019
Oriental Bank of Commerce,2545701,1919597,4465298,367220.03,3873803,(A) Public Sector Banks,01/02/2019
Punjab & Sind Bank,731133,429194,1160327,67738.23,1053022,(A) Public Sector Banks,01/02/2019
Punjab National Bank,16069854,2881218,18951072,424052.76,18105813,(A) Public Sector Banks,01/02/2019
State Bank of India,45443676,61295335,106739011,2031230.97,88463198,(A) Public Sector Banks,01/02/2019
Syndicate Bank,3207639,1427127,4634766,144201.04,4024529,(A) Public Sector Banks,01/02/2019
UCO Bank,4141048,3227004,7368052,200352.3,3929277,(A) Public Sector Banks,01/02/2019
Union Bank of India,7389053,2015751,9404804,211085.54,4790790,(A) Public Sector Banks,01/02/2019
United Bank of India,7827045,5115113,12942158,805269.78,10451267,(A) Public Sector Banks,01/02/2019
Vijaya Bank,879180,678897,1558077,23108.42,1527891,(A) Public Sector Banks,01/02/2019
Public Sector Banks Sub Total,146454077,124566979,271021056,6954037.85,221201338,(A) Public Sector Banks,01/02/2019
Allahabad Bank,1035309,169314,1204623,32122.27,781002,(B) Regional Rural Bank,01/02/2019
Andhra Bank,167522,17463,184985,3127.92,101274,(B) Regional Rural Bank,01/02/2019
Bank of Baroda,5530904,1548632,7079536,213256.59,5446456,(B) Regional Rural Bank,01/02/2019
Bank of India,3261443,1079217,4340660,93765.6,3804512,(B) Regional Rural Bank,01/02/2019
Bank of Maharashtra,1086473,140806,1227279,33933.68,800838,(B) Regional Rural Bank,01/02/2019
Canara Bank,794171,478573,1272744,57167.08,1243846,(B) Regional Rural Bank,01/02/2019
Central Bank of India,3472651,826031,4298682,124012.82,3724569,(B) Regional Rural Bank,01/02/2019
Dena Bank,444572,15610,460182,16464.28,296914,(B) Regional Rural Bank,01/02/2019
Indian Bank,479389,166908,646297,8110.78,565177,(B) Regional Rural Bank,01/02/2019
Indian Overseas Bank,1029938,34338,1064276,33169.78,616138,(B) Regional Rural Bank,01/02/2019
Jammu & Kashmir Bank Ltd,109797,18423,128220,6327.7,22189,(B) Regional Rural Bank,01/02/2019
Punjab National Bank,3338191,590744,3928935,144316.37,3307943,(B) Regional Rural Bank,01/02/2019
State Bank of India,12106710,2594602,14701312,325955.49,6562766,(B) Regional Rural Bank,01/02/2019
Syndicate Bank,2122529,577714,2700243,104970.24,2533710,(B) Regional Rural Bank,01/02/2019
UCO Bank,1760913,64843,1825756,42188.59,559347,(B) Regional Rural Bank,01/02/2019
Union Bank of India,1153279,401620,1554899,40864.76,765535,(B) Regional Rural Bank,01/02/2019
United Bank of India,9038484,107329,9145813,221837.76,6745137,(B) Regional Rural Bank,01/02/2019
Regional Rural Banks Sub Total,46932275,8832167,55764442,1501591.73,37877353,(B) Regional Rural Bank,01/02/2019
Axis Bank Ltd,132126,690812,822938,20427.01,726671,(C) Major Private Banks,01/02/2019
City Union Bank Ltd,9612,75791,85403,1555.75,84543,(C) Major Private Banks,01/02/2019
Federal Bank Ltd,421878,82326,504204,21267.25,274692,(C) Major Private Banks,01/02/2019
HDFC Bank Ltd,347453,1519139,1866592,100687.84,1865914,(C) Major Private Banks,01/02/2019
ICICI Bank Ltd,3617671,720677,4338348,22814.33,4338348,(C) Major Private Banks,01/02/2019
IndusInd Bank Ltd,46276,445898,492174,3498.63,464284,(C) Major Private Banks,01/02/2019
Jammu & Kashmir Bank Ltd,1368164,181186,1549350,66665.18,1345450,(C) Major Private Banks,01/02/2019
Karur Vysya Bank,27194,171481,198675,1718.5,195238,(C) Major Private Banks,01/02/2019
Kotak Mahindra Bank Ltd,106725,70405,177130,2089.8,129899,(C) Major Private Banks,01/02/2019
Lakshmi Vilas Bank Ltd,39080,103432,142512,1757.25,127919,(C) Major Private Banks,01/02/2019
RBL Bank Ltd,59787,35520,95307,255.71,93132,(C) Major Private Banks,01/02/2019
South Indian Bank Ltd,30622,180384,211006,4730.08,59893,(C) Major Private Banks,01/02/2019
Yes Bank Ltd,6765,5773,12538,245.28,12189,(C) Major Private Banks,01/02/2019
Major Private Banks Sub Total,6213353,4282824,10496177,247712.6,9718172,(C) Major Private Banks,01/02/2019
Public Sector Banks,147075884,125072024,272147908,7022736.7,223044932,Summary,01/16/2019
Regional Rural Banks,47285556,8873326,56158882,1526756.57,37122721,Summary,01/16/2019
Private Sector Banks,6215473,4404212,10619685,243963.38,9841754,Summary,01/16/2019
Grand Total,200576913,138349562,338926475,8793456.65,270009407,Summary,01/16/2019
Allahabad Bank,7298138,2776297,10074435,301789.86,6112190,(A) Public Sector Banks,01/16/2019
Andhra Bank,1605030,916783,2521813,40095.91,1860807,(A) Public Sector Banks,01/16/2019
Bank of Baroda,10734806,18070730,28805536,830438.86,26511253,(A) Public Sector Banks,01/16/2019
Bank of India,10195809,10778895,20974704,523841.78,18971767,(A) Public Sector Banks,01/16/2019
Bank of Maharashtra,4225461,1227529,5452990,129349.12,1189517,(A) Public Sector Banks,01/16/2019
Canara Bank,4918507,2207880,7126387,223740.17,4263844,(A) Public Sector Banks,01/16/2019
Central Bank of India,10374213,2298030,12672243,267785.84,11852235,(A) Public Sector Banks,01/16/2019
Corporation Bank,1462859,1541950,3004809,112685.64,2686439,(A) Public Sector Banks,01/16/2019
Dena Bank,3813306,967602,4780908,120368.25,3456798,(A) Public Sector Banks,01/16/2019
IDBI Bank Ltd.,494207,396525,890732,23431.88,737350,(A) Public Sector Banks,01/16/2019
Indian Bank,2416930,1165327,3582257,55933.01,3547656,(A) Public Sector Banks,01/16/2019
Indian Overseas Bank,1001632,3505340,4506972,91980.24,4247413,(A) Public Sector Banks,01/16/2019
Oriental Bank of Commerce,2551907,1924307,4476214,374663.76,3894557,(A) Public Sector Banks,01/16/2019
Punjab & Sind Bank,753007,434110,1187117,67901.27,1076124,(A) Public Sector Banks,01/16/2019
Punjab National Bank,16125395,2897926,19023321,429376.01,18132861,(A) Public Sector Banks,01/16/2019
State Bank of India,45566983,61445799,107012782,2036426.03,88986203,(A) Public Sector Banks,01/16/2019
Syndicate Bank,3215414,1429247,4644661,145387.02,4032877,(A) Public Sector Banks,01/16/2019
UCO Bank,4168767,3248351,7417118,203726.53,3941595,(A) Public Sector Banks,01/16/2019
Union Bank of India,7428265,2032540,9460805,215307.84,5556811,(A) Public Sector Banks,01/16/2019
United Bank of India,7841814,5124656,12966470,805169.99,10451267,(A) Public Sector Banks,01/16/2019
Vijaya Bank,883434,682200,1565634,23337.71,1535368,(A) Public Sector Banks,01/16/2019
Public Sector Banks Sub Total,147075884,125072024,272147908,7022736.7,223044932,(A) Public Sector Banks,01/16/2019
Allahabad Bank,1097078,169314,1266392,32796.91,781002,(B) Regional Rural Bank,01/16/2019
Andhra Bank,167509,17465,184974,3134.52,101315,(B) Regional Rural Bank,01/16/2019
