Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Public Sector Banks,17394862,14845177,32240039,93390.3,10402669,Summary,09/24/2014
Regional Rural Banks,357621,66286,423907,1431.38,6119,Summary,09/24/2014
Private Sector Banks,359258,471164,830422,1090.87,55489,Summary,09/24/2014
Grand Total,18111741,15382627,33494368,95912.55,10464277,Summary,09/24/2014
Andhra Bank,584929,433918,1018847,254.31,762409,(A) Public Sector Banks,09/24/2014
Bank of Baroda,958981,1617242,2576223,1366.41,1973850,(A) Public Sector Banks,09/24/2014
Bank of Maharashtra,560682,304735,865417,582.01,37684,(A) Public Sector Banks,09/24/2014
Canara Bank,1599843,885426,2485269,4467.66,93940,(A) Public Sector Banks,09/24/2014
Central Bank of India,1831008,649487,2480495,1973.4,395030,(A) Public Sector Banks,09/24/2014
Corporation Bank,507510,462572,970082,725.97,431146,(A) Public Sector Banks,09/24/2014
Dena Bank,538846,367735,906581,685.16,218921,(A) Public Sector Banks,09/24/2014
IDBI Bank Ltd.,226058,226935,452993,233.02,126239,(A) Public Sector Banks,09/24/2014
Indian Bank,863709,553175,1416884,685.83,868542,(A) Public Sector Banks,09/24/2014
Indian Overseas Bank,385808,854401,1240209,462.32,390804,(A) Public Sector Banks,09/24/2014
Oriental Bank of Commerce,611187,468934,1080121,1619.58,116799,(A) Public Sector Banks,09/24/2014
Punjab & Sind Bank,381827,240786,622613,1062.31,338403,(A) Public Sector Banks,09/24/2014
Punjab National Bank,2225853,690332,2916185,71885.09,465269,(A) Public Sector Banks,09/24/2014
State Bank of Hyderabad,327907,749894,1077801,281.55,314155,(A) Public Sector Banks,09/24/2014
State Bank of India,2980000,4139554,7119554,2739.08,2329992,(A) Public Sector Banks,09/24/2014
Syndicate Bank,1065208,643891,1709099,531.18,618289,(A) Public Sector Banks,09/24/2014
UCO Bank,718187,768684,1486871,1663.74,503621,(A) Public Sector Banks,09/24/2014
United Bank of India,751228,538973,1290201,1921.21,143275,(A) Public Sector Banks,09/24/2014
Vijaya Bank,276091,248503,524594,250.47,274301,(A) Public Sector Banks,09/24/2014
Public Sector Banks Sub Total,17394862,14845177,32240039,93390.3,10402669,(A) Public Sector Banks,09/24/2014
Dena Bank,69527,4251,73778,250,887,(B) Regional Rural Bank,09/24/2014
United Bank of India,288094,62035,350129,1181.39,5232,(B) Regional Rural Bank,09/24/2014
Regional Rural Banks Sub Total,357621,66286,423907,1431.38,6119,(B) Regional Rural Bank,09/24/2014
Axis Bank Ltd,56014,68474,124488,62.79,0,(C) Major Private Banks,09/24/2014
City Union Bank Ltd,5823,25189,31012,57.41,0,(C) Major Private Banks,09/24/2014
HDFC Bank Ltd,58630,258251,316881,804.46,20746,(C) Major Private Banks,09/24/2014
ICICI Bank Ltd,194386,60837,255223,148.21,4442,(C) Major Private Banks,09/24/2014
Karur Vysya Bank,3392,36906,40298,12.49,16922,(C) Major Private Banks,09/24/2014
Kotak Mahindra Bank Ltd,14116,9338,23454,3.14,0,(C) Major Private Banks,09/24/2014
RBL Bank Ltd,26897,12169,39066,2.36,13379,(C) Major Private Banks,09/24/2014
Major Private Banks Sub Total,359258,471164,830422,1090.87,55489,(C) Major Private Banks,09/24/2014
Public Sector Banks,4029772,2754484,6784256,10466.93,1703977,Summary,10/01/2014
Regional Rural Banks,198184,91256,289440,0,48719,Summary,10/01/2014
Grand Total,4227956,2845740,7073696,10466.93,1752696,Summary,10/01/2014
Canara Bank,1774285,946200,2720485,3104.81,113798,(A) Public Sector Banks,10/01/2014
Syndicate Bank,1163372,691817,1855189,2.42,618289,(A) Public Sector Banks,10/01/2014
UCO Bank,791743,846370,1638113,6628.86,619740,(A) Public Sector Banks,10/01/2014
Vijaya Bank,300372,270097,570469,730.83,352150,(A) Public Sector Banks,10/01/2014
Public Sector Banks Sub Total,4029772,2754484,6784256,10466.93,1703977,(A) Public Sector Banks,10/01/2014
Canara Bank,198184,91256,289440,0,48719,(B) Regional Rural Bank,10/01/2014
Regional Rural Banks Sub Total,198184,91256,289440,0,48719,(B) Regional Rural Bank,10/01/2014
Major Private Banks Sub Total,,,,,,(C) Major Private Banks,10/01/2014
Public Sector Banks,14856505,13855257,28711762,11133.84,14468061,Summary,10/08/2014
Regional Rural Banks,313222,78792,392014,1573,6694,Summary,10/08/2014
Private Sector Banks,469494,292553,762047,825.93,80854,Summary,10/08/2014
Grand Total,15639221,14226602,29865823,13532.77,14555609,Summary,10/08/2014
Andhra Bank,635099,465817,1100916,292.7,864234,(A) Public Sector Banks,10/08/2014
Bank of Baroda,1129334,1835576,2964910,810.7,2307438,(A) Public Sector Banks,10/08/2014
Bank of India,1004197,1521534,2525731,740.14,1407469,(A) Public Sector Banks,10/08/2014
Bank of Maharashtra,651554,338579,990133,594.45,146314,(A) Public Sector Banks,10/08/2014
Central Bank of India,2072937,716338,2789275,2071.84,1071545,(A) Public Sector Banks,10/08/2014
Indian Bank,940544,598693,1539237,666.55,1426828,(A) Public Sector Banks,10/08/2014
Oriental Bank of Commerce,687386,515288,1202674,1603.92,431155,(A) Public Sector Banks,10/08/2014
State Bank of Bikaner & Jaipur,412558,574101,986659,0,230018,(A) Public Sector Banks,10/08/2014
State Bank of India,3674485,5249691,8924176,2090.61,3397761,(A) Public Sector Banks,10/08/2014
State Bank of Mysore,333888,114619,448507,228.34,305440,(A) Public Sector Banks,10/08/2014
Syndicate Bank,1186045,703044,1889089,6.12,725621,(A) Public Sector Banks,10/08/2014
UCO Bank,814077,868417,1682494,1680.94,665302,(A) Public Sector Banks,10/08/2014
Union Bank of India,1314401,353560,1667961,347.52,1488936,(A) Public Sector Banks,10/08/2014
Public Sector Banks Sub Total,14856505,13855257,28711762,11133.84,14468061,(A) Public Sector Banks,10/08/2014
Union Bank of India,313222,78792,392014,1573,6694,(B) Regional Rural Bank,10/08/2014
Regional Rural Banks Sub Total,313222,78792,392014,1573,6694,(B) Regional Rural Bank,10/08/2014
Axis Bank Ltd,70407,100669,171076,70.69,0,(C) Major Private Banks,10/08/2014
City Union Bank Ltd,6148,27285,33433,38.92,0,(C) Major Private Banks,10/08/2014
Federal Bank Ltd,77862,24077,101939,463.28,26894,(C) Major Private Banks,10/08/2014
ICICI Bank Ltd,263777,73611,337388,230.12,4563,(C) Major Private Banks,10/08/2014
Karur Vysya Bank,3666,40301,43967,14.71,36018,(C) Major Private Banks,10/08/2014
Kotak Mahindra Bank Ltd,17153,12643,29796,8.21,0,(C) Major Private Banks,10/08/2014
RBL Bank Ltd,30481,13967,44448,0,13379,(C) Major Private Banks,10/08/2014
Major Private Banks Sub Total,469494,292553,762047,825.93,80854,(C) Major Private Banks,10/08/2014
Public Sector Banks,22088030,20609465,42697495,34272.27,21924436,Summary,10/15/2014
Regional Rural Banks,143148,47453,190601,41.82,128335,Summary,10/15/2014
Private Sector Banks,587399,717318,1304717,841.28,203361,Summary,10/15/2014
Grand Total,22818577,21374236,44192813,35155.37,22256132,Summary,10/15/2014
Andhra Bank,671013,485148,1156161,366.05,1012478,(A) Public Sector Banks,10/15/2014
Bank of Baroda,1296704,2007609,3304313,792.41,2684634,(A) Public Sector Banks,10/15/2014
Bank of India,1072906,1625680,2698586,754.57,1719413,(A) Public Sector Banks,10/15/2014
Bank of Maharashtra,688304,352567,1040871,544.19,218650,(A) Public Sector Banks,10/15/2014
Canara Bank,2065385,1069678,3135063,807.53,151798,(A) Public Sector Banks,10/15/2014
Central Bank of India,2215911,753522,2969433,2169.74,1112013,(A) Public Sector Banks,10/15/2014
Corporation Bank,538282,501695,1039977,0,506181,(A) Public Sector Banks,10/15/2014
Dena Bank,671540,433475,1105015,774.38,560673,(A) Public Sector Banks,10/15/2014
IDBI Bank Ltd.,251454,252713,504167,312.45,173091,(A) Public Sector Banks,10/15/2014
Indian Bank,986649,622057,1608706,673.63,1595782,(A) Public Sector Banks,10/15/2014
Indian Overseas Bank,469640,1008302,1477942,481.68,732843,(A) Public Sector Banks,10/15/2014
Oriental Bank of Commerce,731758,541935,1273693,2577.28,509214,(A) Public Sector Banks,10/15/2014
Punjab & Sind Bank,447598,272882,720480,973.76,533851,(A) Public Sector Banks,10/15/2014
State Bank of Hyderabad,409699,907740,1317439,246.9,582636,(A) Public Sector Banks,10/15/2014
State Bank of India,4108487,5894424,10002911,2302.35,4364380,(A) Public Sector Banks,10/15/2014
State Bank of Mysore,354264,119991,474255,229.87,338687,(A) Public Sector Banks,10/15/2014
State Bank of Patiala,265890,526273,792163,526.92,552222,(A) Public Sector Banks,10/15/2014
State Bank of Travancore,26285,239474,265759,16480.64,48829,(A) Public Sector Banks,10/15/2014
Syndicate Bank,1278161,743003,2021164,7.67,728509,(A) Public Sector Banks,10/15/2014
UCO Bank,893439,938159,1831598,1469.03,781653,(A) Public Sector Banks,10/15/2014
Union Bank of India,1410974,370630,1781604,336.23,1489119,(A) Public Sector Banks,10/15/2014
